free_memory_MB,allocated_memory_MB,max_memory_MB,total_memory_MB,milliseconds
93.0,186.0,2048.0,1955.0,1629409729630
93.0,186.0,2048.0,1955.0,1629409729631
93.0,186.0,2048.0,1955.0,1629409729633
93.0,186.0,2048.0,1955.0,1629409729633
93.0,186.0,2048.0,1955.0,1629409729633
93.0,186.0,2048.0,1955.0,1629409729634
93.0,186.0,2048.0,1955.0,1629409729634
93.0,186.0,2048.0,1955.0,1629409729634
93.0,186.0,2048.0,1955.0,1629409729634
93.0,186.0,2048.0,1955.0,1629409729634
93.0,186.0,2048.0,1955.0,1629409729645
93.0,186.0,2048.0,1955.0,1629409729646
92.0,186.0,2048.0,1954.0,1629409729646
92.0,186.0,2048.0,1954.0,1629409729647
92.0,186.0,2048.0,1954.0,1629409729647
92.0,186.0,2048.0,1954.0,1629409729647
92.0,186.0,2048.0,1954.0,1629409729648
92.0,186.0,2048.0,1954.0,1629409729648
92.0,186.0,2048.0,1954.0,1629409729648
92.0,186.0,2048.0,1954.0,1629409729648
92.0,186.0,2048.0,1954.0,1629409729649
92.0,186.0,2048.0,1954.0,1629409729649
92.0,186.0,2048.0,1954.0,1629409729650
92.0,186.0,2048.0,1954.0,1629409729651
92.0,186.0,2048.0,1954.0,1629409729658
92.0,186.0,2048.0,1954.0,1629409729658
92.0,186.0,2048.0,1954.0,1629409729658
92.0,186.0,2048.0,1954.0,1629409729658
92.0,186.0,2048.0,1954.0,1629409729658
92.0,186.0,2048.0,1954.0,1629409729659
92.0,186.0,2048.0,1954.0,1629409729659
92.0,186.0,2048.0,1954.0,1629409729659
92.0,186.0,2048.0,1954.0,1629409729659
92.0,186.0,2048.0,1954.0,1629409729659
92.0,186.0,2048.0,1954.0,1629409729659
92.0,186.0,2048.0,1954.0,1629409729660
92.0,186.0,2048.0,1954.0,1629409729660
92.0,186.0,2048.0,1954.0,1629409729660
92.0,186.0,2048.0,1954.0,1629409729661
92.0,186.0,2048.0,1954.0,1629409729662
