free_memory_MB,allocated_memory_MB,max_memory_MB,total_memory_MB,milliseconds
55.0,186.0,2048.0,1917.0,1629409741016
55.0,186.0,2048.0,1917.0,1629409741016
55.0,186.0,2048.0,1917.0,1629409741017
55.0,186.0,2048.0,1917.0,1629409741017
55.0,186.0,2048.0,1917.0,1629409741017
55.0,186.0,2048.0,1917.0,1629409741017
55.0,186.0,2048.0,1917.0,1629409741017
55.0,186.0,2048.0,1917.0,1629409741017
55.0,186.0,2048.0,1917.0,1629409741017
55.0,186.0,2048.0,1917.0,1629409741018
55.0,186.0,2048.0,1917.0,1629409741018
55.0,186.0,2048.0,1917.0,1629409741018
55.0,186.0,2048.0,1917.0,1629409741018
54.0,186.0,2048.0,1916.0,1629409741018
54.0,186.0,2048.0,1916.0,1629409741018
54.0,186.0,2048.0,1916.0,1629409741019
54.0,186.0,2048.0,1916.0,1629409741019
54.0,186.0,2048.0,1916.0,1629409741019
54.0,186.0,2048.0,1916.0,1629409741019
54.0,186.0,2048.0,1916.0,1629409741019
54.0,186.0,2048.0,1916.0,1629409741019
54.0,186.0,2048.0,1916.0,1629409741020
54.0,186.0,2048.0,1916.0,1629409741020
54.0,186.0,2048.0,1916.0,1629409741020
54.0,186.0,2048.0,1916.0,1629409741020
54.0,186.0,2048.0,1916.0,1629409741020
54.0,186.0,2048.0,1916.0,1629409741021
54.0,186.0,2048.0,1916.0,1629409741021
54.0,186.0,2048.0,1916.0,1629409741021
54.0,186.0,2048.0,1916.0,1629409741021
54.0,186.0,2048.0,1916.0,1629409741022
54.0,186.0,2048.0,1916.0,1629409741022
54.0,186.0,2048.0,1916.0,1629409741022
54.0,186.0,2048.0,1916.0,1629409741022
54.0,186.0,2048.0,1916.0,1629409741022
54.0,186.0,2048.0,1916.0,1629409741022
54.0,186.0,2048.0,1916.0,1629409741022
54.0,186.0,2048.0,1916.0,1629409741023
54.0,186.0,2048.0,1916.0,1629409741023
54.0,186.0,2048.0,1916.0,1629409741023
54.0,186.0,2048.0,1916.0,1629409741023
54.0,186.0,2048.0,1916.0,1629409741023
54.0,186.0,2048.0,1916.0,1629409741023
54.0,186.0,2048.0,1916.0,1629409741023
54.0,186.0,2048.0,1916.0,1629409741024
54.0,186.0,2048.0,1916.0,1629409741024
54.0,186.0,2048.0,1916.0,1629409741024
54.0,186.0,2048.0,1916.0,1629409741024
54.0,186.0,2048.0,1916.0,1629409741024
54.0,186.0,2048.0,1916.0,1629409741024
54.0,186.0,2048.0,1916.0,1629409741024
54.0,186.0,2048.0,1916.0,1629409741025
53.0,186.0,2048.0,1915.0,1629409741025
53.0,186.0,2048.0,1915.0,1629409741025
53.0,186.0,2048.0,1915.0,1629409741025
53.0,186.0,2048.0,1915.0,1629409741025
53.0,186.0,2048.0,1915.0,1629409741025
