allocated_memory_MB,total_memory_MB,milliseconds
62.0,938.0,1629822156233
62.0,938.0,1629822156233
62.0,937.0,1629822156267
62.0,937.0,1629822156268
62.0,937.0,1629822156269
62.0,937.0,1629822156269
62.0,937.0,1629822156269
62.0,937.0,1629822156270
62.0,937.0,1629822156271
62.0,937.0,1629822156272
62.0,937.0,1629822156273
62.0,937.0,1629822156273
62.0,937.0,1629822156273
62.0,937.0,1629822156274
62.0,937.0,1629822156274
62.0,937.0,1629822156275
62.0,937.0,1629822156275
62.0,937.0,1629822156276
62.0,937.0,1629822156276
62.0,937.0,1629822156277
62.0,937.0,1629822156278
62.0,937.0,1629822156279
62.0,937.0,1629822156279
62.0,937.0,1629822156280
62.0,937.0,1629822156280
62.0,937.0,1629822156281
62.0,937.0,1629822156281
62.0,937.0,1629822156281
62.0,937.0,1629822156295
62.0,937.0,1629822156296
62.0,937.0,1629822156296
62.0,937.0,1629822156297
62.0,937.0,1629822156297
62.0,937.0,1629822156298
62.0,937.0,1629822156298
62.0,937.0,1629822156298
62.0,936.0,1629822156299
62.0,936.0,1629822156300
62.0,936.0,1629822156301
62.0,936.0,1629822156301
62.0,936.0,1629822156302
62.0,936.0,1629822156302
62.0,936.0,1629822156303
62.0,936.0,1629822156306
62.0,936.0,1629822156306
62.0,936.0,1629822156307
62.0,936.0,1629822156307
62.0,936.0,1629822156308
62.0,936.0,1629822156308
62.0,936.0,1629822156309
62.0,936.0,1629822156309
62.0,936.0,1629822156317
62.0,936.0,1629822156317
62.0,936.0,1629822156318
62.0,936.0,1629822156319
62.0,936.0,1629822156320
62.0,936.0,1629822156320
62.0,936.0,1629822156321
62.0,936.0,1629822156322
62.0,936.0,1629822156325
62.0,936.0,1629822156326
62.0,936.0,1629822156327
62.0,936.0,1629822156327
62.0,936.0,1629822156329
62.0,935.0,1629822156329
62.0,935.0,1629822156330
62.0,935.0,1629822156330
62.0,935.0,1629822156331
62.0,935.0,1629822156331
62.0,935.0,1629822156332
62.0,935.0,1629822156332
62.0,935.0,1629822156336
62.0,935.0,1629822156337
62.0,935.0,1629822156339
62.0,935.0,1629822156340
62.0,935.0,1629822156341
62.0,935.0,1629822156346
62.0,935.0,1629822156348
62.0,935.0,1629822156349
62.0,935.0,1629822156351
62.0,935.0,1629822156352
62.0,935.0,1629822156355
62.0,935.0,1629822156356
62.0,935.0,1629822156358
62.0,935.0,1629822156358
62.0,935.0,1629822156359
62.0,935.0,1629822156360
62.0,935.0,1629822156361
62.0,935.0,1629822156361
62.0,935.0,1629822156365
62.0,935.0,1629822156366
62.0,935.0,1629822156366
62.0,935.0,1629822156370
