allocated_memory_MB,total_memory_MB,milliseconds
62.0,938.0,1629822071276
62.0,938.0,1629822071279
62.0,938.0,1629822071280
62.0,938.0,1629822071282
62.0,938.0,1629822071284
62.0,938.0,1629822071285
62.0,938.0,1629822071286
62.0,937.0,1629822071287
62.0,937.0,1629822071290
62.0,937.0,1629822071293
62.0,937.0,1629822071294
62.0,937.0,1629822071295
62.0,937.0,1629822071297
62.0,937.0,1629822071299
62.0,937.0,1629822071302
62.0,937.0,1629822071302
62.0,937.0,1629822071305
62.0,937.0,1629822071305
62.0,937.0,1629822071307
62.0,937.0,1629822071310
62.0,937.0,1629822071310
62.0,937.0,1629822071315
62.0,937.0,1629822071316
62.0,937.0,1629822071319
62.0,937.0,1629822071321
62.0,937.0,1629822071323
62.0,937.0,1629822071326
62.0,937.0,1629822071330
62.0,937.0,1629822071333
62.0,937.0,1629822071333
62.0,937.0,1629822071333
62.0,937.0,1629822071334
62.0,937.0,1629822071337
62.0,937.0,1629822071338
62.0,937.0,1629822071340
62.0,937.0,1629822071341
62.0,937.0,1629822071342
62.0,937.0,1629822071346
62.0,937.0,1629822071347
62.0,937.0,1629822071348
62.0,937.0,1629822071348
62.0,937.0,1629822071350
62.0,937.0,1629822071353
62.0,937.0,1629822071354
62.0,937.0,1629822071354
62.0,937.0,1629822071355
62.0,937.0,1629822071364
62.0,937.0,1629822071365
62.0,937.0,1629822071366
62.0,937.0,1629822071367
62.0,937.0,1629822071367
62.0,937.0,1629822071368
62.0,937.0,1629822071368
62.0,937.0,1629822071371
62.0,937.0,1629822071372
62.0,937.0,1629822071374
62.0,937.0,1629822071374
62.0,936.0,1629822071375
62.0,936.0,1629822071378
62.0,936.0,1629822071380
62.0,936.0,1629822071381
62.0,936.0,1629822071382
62.0,936.0,1629822071382
62.0,936.0,1629822071384
62.0,936.0,1629822071385
62.0,936.0,1629822071385
62.0,936.0,1629822071386
62.0,936.0,1629822071387
62.0,936.0,1629822071387
62.0,936.0,1629822071388
62.0,936.0,1629822071389
62.0,936.0,1629822071391
62.0,936.0,1629822071392
62.0,936.0,1629822071393
62.0,936.0,1629822071393
62.0,936.0,1629822071396
62.0,936.0,1629822071397
62.0,936.0,1629822071397
62.0,936.0,1629822071397
62.0,936.0,1629822071398
62.0,936.0,1629822071399
62.0,936.0,1629822071399
62.0,936.0,1629822071400
62.0,936.0,1629822071400
62.0,936.0,1629822071401
62.0,935.0,1629822071401
62.0,935.0,1629822071401
62.0,935.0,1629822071405
62.0,935.0,1629822071406
62.0,935.0,1629822071406
62.0,935.0,1629822071406
62.0,935.0,1629822071406
62.0,935.0,1629822071407
62.0,935.0,1629822071407
62.0,935.0,1629822071408
62.0,935.0,1629822071408
62.0,935.0,1629822071409
62.0,935.0,1629822071409
62.0,935.0,1629822071409
62.0,935.0,1629822071409
62.0,935.0,1629822071410
62.0,935.0,1629822071410
62.0,935.0,1629822071411
62.0,935.0,1629822071411
62.0,935.0,1629822071412
62.0,935.0,1629822071416
62.0,935.0,1629822071417
62.0,935.0,1629822071417
62.0,935.0,1629822071418
62.0,935.0,1629822071418
62.0,935.0,1629822071418
62.0,935.0,1629822071419
62.0,935.0,1629822071419
62.0,935.0,1629822071419
62.0,935.0,1629822071420
62.0,935.0,1629822071420
62.0,935.0,1629822071420
62.0,935.0,1629822071420
62.0,935.0,1629822071421
62.0,935.0,1629822071421
62.0,935.0,1629822071425
62.0,935.0,1629822071426
62.0,935.0,1629822071427
62.0,935.0,1629822071469
62.0,943.0,1629822071470
62.0,943.0,1629822071470
62.0,943.0,1629822071470
62.0,943.0,1629822071470
62.0,943.0,1629822071471
62.0,943.0,1629822071471
62.0,943.0,1629822071471
62.0,942.0,1629822071471
62.0,942.0,1629822071471
62.0,942.0,1629822071472
62.0,942.0,1629822071472
62.0,942.0,1629822071472
62.0,942.0,1629822071472
62.0,942.0,1629822071472
62.0,942.0,1629822071473
62.0,942.0,1629822071473
62.0,942.0,1629822071479
62.0,942.0,1629822071479
62.0,942.0,1629822071479
62.0,942.0,1629822071480
62.0,942.0,1629822071480
62.0,942.0,1629822071480
62.0,942.0,1629822071481
62.0,942.0,1629822071481
62.0,942.0,1629822071481
62.0,942.0,1629822071481
62.0,942.0,1629822071482
62.0,942.0,1629822071482
62.0,942.0,1629822071482
62.0,942.0,1629822071482
62.0,942.0,1629822071483
62.0,942.0,1629822071483
62.0,942.0,1629822071483
62.0,942.0,1629822071483
62.0,942.0,1629822071483
62.0,942.0,1629822071484
62.0,942.0,1629822071484
62.0,942.0,1629822071484
62.0,942.0,1629822071484
62.0,942.0,1629822071484
62.0,942.0,1629822071485
62.0,942.0,1629822071485
62.0,942.0,1629822071485
62.0,942.0,1629822071485
62.0,942.0,1629822071486
62.0,942.0,1629822071486
62.0,942.0,1629822071487
62.0,941.0,1629822071487
62.0,941.0,1629822071487
62.0,941.0,1629822071487
62.0,941.0,1629822071488
62.0,941.0,1629822071488
62.0,941.0,1629822071488
62.0,941.0,1629822071489
62.0,941.0,1629822071489
62.0,941.0,1629822071489
62.0,941.0,1629822071490
62.0,941.0,1629822071492
62.0,941.0,1629822071493
62.0,941.0,1629822071497
62.0,941.0,1629822071499
62.0,941.0,1629822071500
62.0,941.0,1629822071500
62.0,941.0,1629822071500
62.0,941.0,1629822071500
62.0,941.0,1629822071500
62.0,941.0,1629822071500
62.0,941.0,1629822071501
62.0,941.0,1629822071501
62.0,941.0,1629822071501
62.0,941.0,1629822071502
62.0,941.0,1629822071506
62.0,941.0,1629822071507
62.0,941.0,1629822071507
62.0,941.0,1629822071516
62.0,941.0,1629822071516
62.0,941.0,1629822071516
62.0,941.0,1629822071516
62.0,941.0,1629822071517
62.0,941.0,1629822071517
62.0,941.0,1629822071518
62.0,941.0,1629822071518
62.0,941.0,1629822071518
62.0,941.0,1629822071518
62.0,941.0,1629822071518
62.0,941.0,1629822071518
62.0,940.0,1629822071519
62.0,940.0,1629822071519
62.0,940.0,1629822071519
62.0,940.0,1629822071519
62.0,940.0,1629822071519
62.0,940.0,1629822071519
62.0,940.0,1629822071520
62.0,940.0,1629822071520
62.0,940.0,1629822071520
62.0,940.0,1629822071525
62.0,940.0,1629822071529
62.0,940.0,1629822071530
62.0,940.0,1629822071531
62.0,940.0,1629822071535
62.0,940.0,1629822071535
62.0,940.0,1629822071535
62.0,940.0,1629822071535
62.0,940.0,1629822071535
62.0,940.0,1629822071536
62.0,940.0,1629822071536
62.0,940.0,1629822071536
62.0,940.0,1629822071536
62.0,940.0,1629822071536
62.0,940.0,1629822071536
62.0,940.0,1629822071539
62.0,940.0,1629822071539
62.0,940.0,1629822071540
62.0,940.0,1629822071540
62.0,940.0,1629822071540
62.0,940.0,1629822071544
62.0,940.0,1629822071544
62.0,940.0,1629822071545
62.0,940.0,1629822071545
62.0,940.0,1629822071546
62.0,940.0,1629822071547
62.0,940.0,1629822071547
62.0,940.0,1629822071547
62.0,940.0,1629822071548
62.0,940.0,1629822071549
62.0,939.0,1629822071550
62.0,939.0,1629822071550
62.0,939.0,1629822071550
62.0,939.0,1629822071552
62.0,939.0,1629822071552
62.0,939.0,1629822071552
62.0,939.0,1629822071553
62.0,939.0,1629822071553
62.0,939.0,1629822071555
62.0,939.0,1629822071555
62.0,939.0,1629822071555
62.0,939.0,1629822071555
62.0,939.0,1629822071556
62.0,939.0,1629822071556
62.0,939.0,1629822071556
62.0,939.0,1629822071556
62.0,939.0,1629822071557
62.0,939.0,1629822071559
62.0,939.0,1629822071560
62.0,939.0,1629822071561
62.0,939.0,1629822071561
62.0,939.0,1629822071562
62.0,939.0,1629822071562
62.0,939.0,1629822071562
62.0,939.0,1629822071563
62.0,939.0,1629822071563
62.0,939.0,1629822071563
62.0,939.0,1629822071563
62.0,939.0,1629822071563
62.0,939.0,1629822071565
62.0,939.0,1629822071565
62.0,939.0,1629822071566
62.0,939.0,1629822071566
62.0,939.0,1629822071566
62.0,939.0,1629822071566
62.0,939.0,1629822071566
62.0,939.0,1629822071567
62.0,939.0,1629822071567
62.0,939.0,1629822071567
62.0,938.0,1629822071567
62.0,938.0,1629822071568
62.0,938.0,1629822071568
62.0,938.0,1629822071568
62.0,938.0,1629822071568
62.0,938.0,1629822071568
62.0,938.0,1629822071569
62.0,938.0,1629822071569
62.0,938.0,1629822071569
62.0,938.0,1629822071569
62.0,938.0,1629822071569
62.0,938.0,1629822071569
62.0,938.0,1629822071570
62.0,938.0,1629822071570
62.0,938.0,1629822071570
62.0,938.0,1629822071573
62.0,938.0,1629822071577
62.0,938.0,1629822071577
62.0,938.0,1629822071577
62.0,938.0,1629822071577
62.0,938.0,1629822071577
62.0,938.0,1629822071578
62.0,938.0,1629822071578
62.0,938.0,1629822071578
62.0,938.0,1629822071578
62.0,938.0,1629822071578
62.0,938.0,1629822071579
62.0,938.0,1629822071579
62.0,938.0,1629822071579
62.0,938.0,1629822071579
62.0,938.0,1629822071579
62.0,938.0,1629822071580
62.0,938.0,1629822071580
62.0,938.0,1629822071580
62.0,938.0,1629822071580
62.0,938.0,1629822071581
62.0,938.0,1629822071581
62.0,938.0,1629822071581
62.0,938.0,1629822071581
62.0,938.0,1629822071581
62.0,937.0,1629822071582
62.0,937.0,1629822071582
62.0,937.0,1629822071582
62.0,937.0,1629822071583
62.0,937.0,1629822071583
62.0,937.0,1629822071583
62.0,937.0,1629822071583
62.0,937.0,1629822071583
62.0,937.0,1629822071583
62.0,937.0,1629822071584
62.0,937.0,1629822071584
62.0,937.0,1629822071584
62.0,937.0,1629822071586
62.0,937.0,1629822071587
62.0,937.0,1629822071588
62.0,937.0,1629822071588
62.0,937.0,1629822071588
62.0,937.0,1629822071588
62.0,937.0,1629822071589
62.0,937.0,1629822071589
62.0,937.0,1629822071589
62.0,937.0,1629822071589
62.0,937.0,1629822071590
62.0,937.0,1629822071590
62.0,937.0,1629822071590
62.0,937.0,1629822071591
62.0,937.0,1629822071597
