allocated_memory_MB,total_memory_MB,milliseconds
62.0,938.0,1629822321799
62.0,938.0,1629822321800
62.0,937.0,1629822321816
62.0,937.0,1629822321817
62.0,937.0,1629822321821
62.0,937.0,1629822321822
62.0,937.0,1629822321825
62.0,937.0,1629822321827
62.0,937.0,1629822321828
62.0,937.0,1629822321829
62.0,937.0,1629822321834
62.0,937.0,1629822321837
62.0,937.0,1629822321845
62.0,937.0,1629822321849
62.0,937.0,1629822321853
62.0,937.0,1629822321856
62.0,937.0,1629822321859
62.0,937.0,1629822321861
62.0,937.0,1629822321862
62.0,937.0,1629822321869
62.0,937.0,1629822321870
62.0,937.0,1629822321877
62.0,937.0,1629822321881
62.0,937.0,1629822321883
62.0,937.0,1629822321884
62.0,937.0,1629822321887
62.0,937.0,1629822321888
62.0,937.0,1629822321889
62.0,937.0,1629822321890
62.0,937.0,1629822321892
62.0,937.0,1629822321894
62.0,936.0,1629822321898
62.0,936.0,1629822321901
62.0,936.0,1629822321903
62.0,936.0,1629822321904
62.0,936.0,1629822321907
62.0,936.0,1629822321909
62.0,936.0,1629822321910
62.0,936.0,1629822321913
62.0,936.0,1629822321915
62.0,936.0,1629822321919
62.0,936.0,1629822321921
62.0,936.0,1629822321923
62.0,936.0,1629822321924
62.0,936.0,1629822321928
62.0,936.0,1629822321930
62.0,936.0,1629822321932
62.0,935.0,1629822321934
62.0,935.0,1629822321937
62.0,935.0,1629822321941
62.0,935.0,1629822321947
62.0,935.0,1629822321950
62.0,935.0,1629822321952
62.0,935.0,1629822321953
62.0,935.0,1629822321955
62.0,935.0,1629822321960
62.0,935.0,1629822321961
62.0,942.0,1629822321984
62.0,942.0,1629822321987
62.0,942.0,1629822321990
62.0,942.0,1629822321992
62.0,942.0,1629822321994
62.0,942.0,1629822321995
62.0,942.0,1629822321997
62.0,942.0,1629822321998
62.0,942.0,1629822321999
62.0,942.0,1629822322001
62.0,941.0,1629822322003
62.0,941.0,1629822322004
62.0,941.0,1629822322006
62.0,941.0,1629822322008
62.0,941.0,1629822322009
62.0,941.0,1629822322011
62.0,941.0,1629822322012
62.0,941.0,1629822322013
62.0,941.0,1629822322022
62.0,941.0,1629822322028
62.0,941.0,1629822322030
62.0,940.0,1629822322031
62.0,940.0,1629822322032
62.0,940.0,1629822322033
62.0,940.0,1629822322034
62.0,940.0,1629822322035
62.0,940.0,1629822322036
62.0,940.0,1629822322037
62.0,940.0,1629822322038
62.0,940.0,1629822322039
62.0,939.0,1629822322040
62.0,939.0,1629822322041
62.0,939.0,1629822322044
62.0,939.0,1629822322046
62.0,939.0,1629822322048
62.0,939.0,1629822322049
62.0,939.0,1629822322050
62.0,939.0,1629822322051
62.0,939.0,1629822322052
62.0,938.0,1629822322053
62.0,938.0,1629822322054
62.0,938.0,1629822322056
62.0,938.0,1629822322057
62.0,938.0,1629822322058
62.0,938.0,1629822322059
62.0,938.0,1629822322059
62.0,938.0,1629822322060
62.0,938.0,1629822322061
62.0,938.0,1629822322063
62.0,937.0,1629822322064
62.0,937.0,1629822322065
62.0,937.0,1629822322066
62.0,937.0,1629822322067
62.0,937.0,1629822322068
62.0,937.0,1629822322069
62.0,937.0,1629822322070
62.0,937.0,1629822322071
62.0,936.0,1629822322072
62.0,936.0,1629822322075
62.0,936.0,1629822322077
62.0,936.0,1629822322078
62.0,936.0,1629822322080
62.0,936.0,1629822322083
62.0,935.0,1629822322086
62.0,935.0,1629822322088
62.0,935.0,1629822322089
62.0,935.0,1629822322091
62.0,935.0,1629822322092
62.0,935.0,1629822322097
62.0,934.0,1629822322098
62.0,934.0,1629822322107
62.0,934.0,1629822322109
62.0,934.0,1629822322111
62.0,934.0,1629822322112
62.0,934.0,1629822322115
62.0,934.0,1629822322117
62.0,942.0,1629822322131
62.0,942.0,1629822322133
62.0,942.0,1629822322134
62.0,942.0,1629822322145
62.0,942.0,1629822322146
62.0,942.0,1629822322147
62.0,941.0,1629822322148
62.0,941.0,1629822322150
62.0,941.0,1629822322152
62.0,941.0,1629822322153
62.0,941.0,1629822322155
62.0,941.0,1629822322157
62.0,940.0,1629822322158
62.0,940.0,1629822322159
62.0,940.0,1629822322160
62.0,940.0,1629822322162
62.0,940.0,1629822322163
62.0,940.0,1629822322165
62.0,939.0,1629822322167
62.0,939.0,1629822322169
62.0,939.0,1629822322170
62.0,939.0,1629822322172
62.0,939.0,1629822322173
62.0,939.0,1629822322176
62.0,939.0,1629822322177
62.0,938.0,1629822322179
62.0,938.0,1629822322180
62.0,938.0,1629822322182
62.0,938.0,1629822322183
62.0,938.0,1629822322185
62.0,937.0,1629822322186
62.0,937.0,1629822322188
62.0,937.0,1629822322189
62.0,937.0,1629822322191
62.0,937.0,1629822322192
62.0,936.0,1629822322194
62.0,936.0,1629822322206
62.0,936.0,1629822322209
62.0,936.0,1629822322210
62.0,936.0,1629822322212
62.0,936.0,1629822322213
62.0,935.0,1629822322214
62.0,935.0,1629822322216
62.0,935.0,1629822322217
62.0,935.0,1629822322221
62.0,935.0,1629822322222
62.0,935.0,1629822322223
62.0,934.0,1629822322224
62.0,934.0,1629822322225
62.0,934.0,1629822322227
62.0,934.0,1629822322228
62.0,934.0,1629822322229
62.0,933.0,1629822322232
62.0,933.0,1629822322234
62.0,933.0,1629822322235
62.0,933.0,1629822322238
62.0,932.0,1629822322242
62.0,932.0,1629822322246
62.0,932.0,1629822322256
62.0,932.0,1629822322258
62.0,931.0,1629822322273
62.0,931.0,1629822322278
62.0,931.0,1629822322279
62.0,931.0,1629822322280
62.0,931.0,1629822322283
62.0,930.0,1629822322284
62.0,930.0,1629822322287
62.0,930.0,1629822322288
62.0,930.0,1629822322289
62.0,930.0,1629822322290
62.0,930.0,1629822322291
62.0,929.0,1629822322292
62.0,929.0,1629822322294
62.0,929.0,1629822322295
62.0,929.0,1629822322296
62.0,928.0,1629822322309
62.0,928.0,1629822322315
62.0,928.0,1629822322318
62.0,928.0,1629822322320
62.0,927.0,1629822322321
62.0,927.0,1629822322324
62.0,927.0,1629822322325
62.0,927.0,1629822322326
62.0,927.0,1629822322327
62.0,926.0,1629822322328
62.0,926.0,1629822322329
62.0,926.0,1629822322330
62.0,926.0,1629822322333
62.0,926.0,1629822322335
62.0,925.0,1629822322343
62.0,925.0,1629822322351
62.0,925.0,1629822322353
62.0,925.0,1629822322354
62.0,924.0,1629822322356
62.0,942.0,1629822322362
62.0,942.0,1629822322363
62.0,941.0,1629822322367
62.0,941.0,1629822322369
62.0,941.0,1629822322371
62.0,941.0,1629822322373
62.0,940.0,1629822322379
62.0,940.0,1629822322380
62.0,940.0,1629822322381
62.0,940.0,1629822322383
62.0,939.0,1629822322384
62.0,939.0,1629822322385
62.0,939.0,1629822322386
62.0,939.0,1629822322387
62.0,938.0,1629822322389
62.0,938.0,1629822322390
62.0,938.0,1629822322391
62.0,938.0,1629822322392
62.0,938.0,1629822322394
62.0,937.0,1629822322397
62.0,937.0,1629822322400
62.0,937.0,1629822322401
62.0,937.0,1629822322402
62.0,936.0,1629822322404
62.0,936.0,1629822322406
62.0,936.0,1629822322408
62.0,935.0,1629822322411
62.0,935.0,1629822322413
62.0,935.0,1629822322416
62.0,935.0,1629822322418
62.0,935.0,1629822322419
62.0,934.0,1629822322421
62.0,934.0,1629822322422
62.0,934.0,1629822322424
62.0,933.0,1629822322425
62.0,933.0,1629822322425
62.0,933.0,1629822322427
62.0,933.0,1629822322429
62.0,932.0,1629822322434
62.0,932.0,1629822322436
62.0,932.0,1629822322438
62.0,932.0,1629822322439
62.0,932.0,1629822322441
62.0,931.0,1629822322442
62.0,931.0,1629822322444
62.0,931.0,1629822322445
62.0,931.0,1629822322446
62.0,930.0,1629822322448
62.0,930.0,1629822322450
62.0,930.0,1629822322451
62.0,929.0,1629822322453
62.0,929.0,1629822322455
62.0,929.0,1629822322457
62.0,928.0,1629822322459
62.0,928.0,1629822322461
62.0,928.0,1629822322463
62.0,927.0,1629822322467
62.0,927.0,1629822322468
62.0,927.0,1629822322470
62.0,926.0,1629822322474
62.0,926.0,1629822322476
62.0,925.0,1629822322479
62.0,925.0,1629822322482
62.0,925.0,1629822322484
