allocated_memory_MB,total_memory_MB,milliseconds
62.0,938.0,1629822004438
62.0,938.0,1629822004439
62.0,938.0,1629822004440
62.0,938.0,1629822004441
62.0,938.0,1629822004442
62.0,938.0,1629822004443
62.0,937.0,1629822004443
62.0,937.0,1629822004444
62.0,937.0,1629822004444
62.0,937.0,1629822004445
62.0,937.0,1629822004445
62.0,937.0,1629822004446
62.0,937.0,1629822004446
62.0,937.0,1629822004447
62.0,937.0,1629822004448
62.0,937.0,1629822004448
62.0,937.0,1629822004449
62.0,937.0,1629822004449
62.0,937.0,1629822004450
62.0,937.0,1629822004456
62.0,937.0,1629822004456
62.0,937.0,1629822004457
62.0,937.0,1629822004460
62.0,937.0,1629822004460
62.0,937.0,1629822004461
62.0,937.0,1629822004464
62.0,937.0,1629822004469
62.0,937.0,1629822004471
62.0,937.0,1629822004472
62.0,937.0,1629822004472
62.0,937.0,1629822004475
62.0,937.0,1629822004476
62.0,937.0,1629822004476
62.0,937.0,1629822004477
62.0,937.0,1629822004477
62.0,937.0,1629822004479
62.0,936.0,1629822004480
62.0,936.0,1629822004480
62.0,936.0,1629822004480
62.0,936.0,1629822004481
62.0,936.0,1629822004481
62.0,936.0,1629822004482
62.0,936.0,1629822004482
62.0,936.0,1629822004483
62.0,936.0,1629822004484
62.0,936.0,1629822004485
62.0,936.0,1629822004485
62.0,936.0,1629822004486
62.0,936.0,1629822004487
62.0,936.0,1629822004488
62.0,936.0,1629822004488
62.0,936.0,1629822004488
62.0,936.0,1629822004490
62.0,936.0,1629822004490
62.0,936.0,1629822004491
62.0,936.0,1629822004491
62.0,936.0,1629822004492
62.0,936.0,1629822004492
62.0,936.0,1629822004493
62.0,936.0,1629822004493
62.0,936.0,1629822004493
62.0,936.0,1629822004494
62.0,936.0,1629822004494
62.0,936.0,1629822004495
62.0,936.0,1629822004495
62.0,936.0,1629822004496
62.0,936.0,1629822004496
62.0,936.0,1629822004497
62.0,936.0,1629822004498
62.0,936.0,1629822004500
62.0,936.0,1629822004501
62.0,936.0,1629822004502
62.0,936.0,1629822004503
62.0,936.0,1629822004504
62.0,935.0,1629822004504
62.0,935.0,1629822004505
62.0,935.0,1629822004505
62.0,935.0,1629822004506
62.0,935.0,1629822004507
62.0,935.0,1629822004507
62.0,935.0,1629822004508
62.0,935.0,1629822004508
62.0,935.0,1629822004510
62.0,935.0,1629822004510
62.0,935.0,1629822004511
62.0,935.0,1629822004512
62.0,935.0,1629822004513
62.0,935.0,1629822004513
62.0,935.0,1629822004515
62.0,935.0,1629822004516
62.0,935.0,1629822004517
62.0,935.0,1629822004519
62.0,935.0,1629822004519
62.0,935.0,1629822004520
62.0,935.0,1629822004520
62.0,935.0,1629822004520
62.0,935.0,1629822004522
62.0,935.0,1629822004523
62.0,935.0,1629822004523
62.0,935.0,1629822004524
62.0,935.0,1629822004525
62.0,935.0,1629822004525
62.0,935.0,1629822004526
62.0,935.0,1629822004526
62.0,935.0,1629822004526
62.0,935.0,1629822004527
62.0,935.0,1629822004527
62.0,935.0,1629822004527
62.0,935.0,1629822004528
62.0,935.0,1629822004528
62.0,935.0,1629822004528
62.0,935.0,1629822004529
62.0,935.0,1629822004557
62.0,942.0,1629822004557
62.0,942.0,1629822004558
62.0,942.0,1629822004558
62.0,942.0,1629822004558
62.0,942.0,1629822004559
62.0,942.0,1629822004559
62.0,942.0,1629822004560
62.0,942.0,1629822004560
62.0,942.0,1629822004560
62.0,942.0,1629822004560
62.0,942.0,1629822004561
62.0,942.0,1629822004561
62.0,942.0,1629822004561
62.0,942.0,1629822004562
62.0,942.0,1629822004562
62.0,942.0,1629822004563
62.0,942.0,1629822004572
62.0,942.0,1629822004573
62.0,942.0,1629822004578
62.0,942.0,1629822004578
62.0,942.0,1629822004579
62.0,942.0,1629822004579
62.0,942.0,1629822004580
62.0,942.0,1629822004581
62.0,942.0,1629822004582
62.0,942.0,1629822004582
62.0,942.0,1629822004583
62.0,942.0,1629822004584
62.0,942.0,1629822004584
62.0,942.0,1629822004584
62.0,942.0,1629822004584
62.0,942.0,1629822004585
62.0,942.0,1629822004585
62.0,942.0,1629822004585
62.0,942.0,1629822004586
62.0,942.0,1629822004586
62.0,942.0,1629822004588
62.0,942.0,1629822004589
62.0,942.0,1629822004589
62.0,942.0,1629822004589
62.0,942.0,1629822004589
62.0,942.0,1629822004590
62.0,942.0,1629822004590
62.0,941.0,1629822004590
62.0,941.0,1629822004590
62.0,941.0,1629822004591
62.0,941.0,1629822004591
62.0,941.0,1629822004591
62.0,941.0,1629822004591
62.0,941.0,1629822004592
62.0,941.0,1629822004592
62.0,941.0,1629822004592
62.0,941.0,1629822004596
62.0,941.0,1629822004596
62.0,941.0,1629822004597
62.0,941.0,1629822004597
62.0,941.0,1629822004601
62.0,941.0,1629822004602
62.0,941.0,1629822004603
62.0,941.0,1629822004604
62.0,941.0,1629822004604
62.0,941.0,1629822004604
62.0,941.0,1629822004605
62.0,941.0,1629822004605
62.0,941.0,1629822004605
62.0,941.0,1629822004605
62.0,941.0,1629822004606
62.0,941.0,1629822004607
62.0,941.0,1629822004607
62.0,941.0,1629822004608
62.0,941.0,1629822004609
62.0,941.0,1629822004609
62.0,941.0,1629822004609
62.0,941.0,1629822004611
62.0,941.0,1629822004612
62.0,941.0,1629822004612
62.0,941.0,1629822004613
62.0,941.0,1629822004613
62.0,941.0,1629822004614
62.0,941.0,1629822004617
62.0,941.0,1629822004618
62.0,941.0,1629822004618
62.0,940.0,1629822004618
62.0,940.0,1629822004619
62.0,940.0,1629822004619
62.0,940.0,1629822004619
62.0,940.0,1629822004619
62.0,940.0,1629822004620
62.0,940.0,1629822004620
62.0,940.0,1629822004620
62.0,940.0,1629822004620
62.0,940.0,1629822004621
62.0,940.0,1629822004621
62.0,940.0,1629822004621
62.0,940.0,1629822004621
62.0,940.0,1629822004622
62.0,940.0,1629822004622
62.0,940.0,1629822004622
62.0,940.0,1629822004623
62.0,940.0,1629822004623
62.0,940.0,1629822004623
62.0,940.0,1629822004624
62.0,940.0,1629822004624
62.0,940.0,1629822004624
62.0,940.0,1629822004624
62.0,940.0,1629822004624
62.0,940.0,1629822004625
62.0,940.0,1629822004625
62.0,940.0,1629822004625
62.0,940.0,1629822004625
62.0,940.0,1629822004626
62.0,940.0,1629822004626
62.0,940.0,1629822004626
62.0,940.0,1629822004626
62.0,940.0,1629822004627
62.0,940.0,1629822004627
62.0,940.0,1629822004627
62.0,939.0,1629822004627
62.0,939.0,1629822004634
62.0,939.0,1629822004634
62.0,939.0,1629822004635
62.0,939.0,1629822004635
62.0,939.0,1629822004635
62.0,939.0,1629822004635
62.0,939.0,1629822004636
62.0,939.0,1629822004636
62.0,939.0,1629822004636
62.0,939.0,1629822004636
62.0,939.0,1629822004636
62.0,939.0,1629822004637
62.0,939.0,1629822004637
62.0,939.0,1629822004637
62.0,939.0,1629822004637
62.0,939.0,1629822004638
62.0,939.0,1629822004638
62.0,939.0,1629822004638
62.0,939.0,1629822004638
62.0,939.0,1629822004639
62.0,939.0,1629822004642
62.0,939.0,1629822004647
62.0,939.0,1629822004647
62.0,939.0,1629822004648
62.0,939.0,1629822004648
62.0,939.0,1629822004648
62.0,939.0,1629822004649
62.0,939.0,1629822004649
62.0,939.0,1629822004649
62.0,939.0,1629822004649
62.0,939.0,1629822004650
62.0,939.0,1629822004650
62.0,939.0,1629822004650
62.0,939.0,1629822004651
62.0,939.0,1629822004651
62.0,939.0,1629822004652
62.0,939.0,1629822004652
62.0,939.0,1629822004652
62.0,939.0,1629822004652
62.0,939.0,1629822004652
62.0,939.0,1629822004653
62.0,939.0,1629822004653
62.0,939.0,1629822004653
62.0,938.0,1629822004653
62.0,938.0,1629822004653
62.0,938.0,1629822004654
62.0,938.0,1629822004654
62.0,938.0,1629822004654
62.0,938.0,1629822004654
62.0,938.0,1629822004655
62.0,938.0,1629822004655
62.0,938.0,1629822004655
62.0,938.0,1629822004655
62.0,938.0,1629822004655
62.0,938.0,1629822004656
62.0,938.0,1629822004656
62.0,938.0,1629822004656
62.0,938.0,1629822004656
62.0,938.0,1629822004657
62.0,938.0,1629822004657
62.0,938.0,1629822004657
62.0,938.0,1629822004657
62.0,938.0,1629822004659
62.0,938.0,1629822004659
62.0,938.0,1629822004660
62.0,938.0,1629822004666
62.0,938.0,1629822004667
62.0,938.0,1629822004667
62.0,938.0,1629822004668
62.0,938.0,1629822004669
