allocated_memory_MB,total_memory_MB,milliseconds
62.0,938.0,1629821818801
62.0,938.0,1629821818802
62.0,938.0,1629821818802
62.0,938.0,1629821818803
62.0,938.0,1629821818803
62.0,938.0,1629821818803
62.0,937.0,1629821818804
62.0,937.0,1629821818804
62.0,937.0,1629821818805
62.0,937.0,1629821818806
62.0,937.0,1629821818806
62.0,937.0,1629821818807
62.0,937.0,1629821818807
62.0,937.0,1629821818807
62.0,937.0,1629821818808
62.0,937.0,1629821818808
62.0,937.0,1629821818808
62.0,937.0,1629821818808
62.0,937.0,1629821818809
62.0,937.0,1629821818809
62.0,937.0,1629821818810
62.0,937.0,1629821818810
62.0,937.0,1629821818811
62.0,937.0,1629821818811
62.0,937.0,1629821818811
62.0,937.0,1629821818812
62.0,937.0,1629821818812
62.0,937.0,1629821818813
62.0,937.0,1629821818813
62.0,937.0,1629821818814
62.0,937.0,1629821818814
62.0,937.0,1629821818815
62.0,937.0,1629821818815
62.0,937.0,1629821818816
62.0,937.0,1629821818817
62.0,937.0,1629821818817
62.0,936.0,1629821818818
62.0,936.0,1629821818818
62.0,936.0,1629821818819
62.0,936.0,1629821818819
62.0,936.0,1629821818820
62.0,936.0,1629821818820
62.0,936.0,1629821818821
62.0,936.0,1629821818821
62.0,936.0,1629821818821
62.0,936.0,1629821818822
62.0,936.0,1629821818822
62.0,936.0,1629821818822
62.0,936.0,1629821818823
62.0,936.0,1629821818823
62.0,936.0,1629821818824
62.0,936.0,1629821818824
62.0,936.0,1629821818824
62.0,936.0,1629821818824
62.0,936.0,1629821818825
62.0,936.0,1629821818825
62.0,936.0,1629821818825
62.0,936.0,1629821818825
62.0,936.0,1629821818826
62.0,936.0,1629821818826
62.0,936.0,1629821818827
62.0,936.0,1629821818827
62.0,936.0,1629821818827
62.0,936.0,1629821818828
62.0,936.0,1629821818828
62.0,936.0,1629821818828
62.0,936.0,1629821818829
62.0,936.0,1629821818829
62.0,936.0,1629821818830
62.0,936.0,1629821818830
62.0,936.0,1629821818830
62.0,936.0,1629821818831
62.0,936.0,1629821818831
62.0,936.0,1629821818831
62.0,935.0,1629821818831
62.0,935.0,1629821818831
62.0,935.0,1629821818832
62.0,935.0,1629821818832
62.0,935.0,1629821818832
62.0,935.0,1629821818833
62.0,935.0,1629821818833
62.0,935.0,1629821818834
62.0,935.0,1629821818834
62.0,935.0,1629821818835
62.0,935.0,1629821818835
62.0,935.0,1629821818835
62.0,935.0,1629821818836
62.0,935.0,1629821818836
62.0,935.0,1629821818837
62.0,935.0,1629821818837
62.0,935.0,1629821818838
62.0,935.0,1629821818838
62.0,935.0,1629821818839
62.0,935.0,1629821818839
62.0,935.0,1629821818840
62.0,935.0,1629821818840
62.0,935.0,1629821818840
62.0,935.0,1629821818841
62.0,935.0,1629821818841
62.0,935.0,1629821818841
62.0,935.0,1629821818842
62.0,935.0,1629821818842
62.0,935.0,1629821818842
62.0,935.0,1629821818842
62.0,935.0,1629821818843
62.0,935.0,1629821818843
62.0,935.0,1629821818843
62.0,935.0,1629821818843
62.0,935.0,1629821818844
62.0,935.0,1629821818844
62.0,935.0,1629821818844
62.0,935.0,1629821818845
62.0,935.0,1629821818867
62.0,943.0,1629821818867
62.0,943.0,1629821818867
62.0,943.0,1629821818868
62.0,943.0,1629821818868
62.0,943.0,1629821818868
62.0,943.0,1629821818869
62.0,943.0,1629821818869
62.0,942.0,1629821818869
62.0,942.0,1629821818870
62.0,942.0,1629821818870
62.0,942.0,1629821818870
62.0,942.0,1629821818871
62.0,942.0,1629821818871
62.0,942.0,1629821818871
62.0,942.0,1629821818872
62.0,942.0,1629821818873
62.0,942.0,1629821818873
62.0,942.0,1629821818873
62.0,942.0,1629821818874
62.0,942.0,1629821818874
62.0,942.0,1629821818874
62.0,942.0,1629821818875
62.0,942.0,1629821818875
62.0,942.0,1629821818875
62.0,942.0,1629821818876
62.0,942.0,1629821818876
62.0,942.0,1629821818876
62.0,942.0,1629821818876
62.0,942.0,1629821818877
62.0,942.0,1629821818877
62.0,942.0,1629821818878
62.0,942.0,1629821818878
62.0,942.0,1629821818878
62.0,942.0,1629821818879
62.0,942.0,1629821818880
62.0,942.0,1629821818880
62.0,942.0,1629821818880
62.0,942.0,1629821818881
62.0,942.0,1629821818881
62.0,942.0,1629821818881
62.0,942.0,1629821818881
62.0,942.0,1629821818882
62.0,941.0,1629821818882
62.0,941.0,1629821818882
62.0,941.0,1629821818883
62.0,941.0,1629821818883
62.0,941.0,1629821818883
62.0,941.0,1629821818884
62.0,941.0,1629821818884
62.0,941.0,1629821818885
62.0,941.0,1629821818885
62.0,941.0,1629821818886
62.0,941.0,1629821818886
62.0,941.0,1629821818886
62.0,941.0,1629821818886
62.0,941.0,1629821818887
62.0,941.0,1629821818887
62.0,941.0,1629821818887
62.0,941.0,1629821818888
62.0,941.0,1629821818888
62.0,941.0,1629821818889
62.0,941.0,1629821818890
62.0,941.0,1629821818891
62.0,941.0,1629821818891
62.0,941.0,1629821818892
62.0,941.0,1629821818892
62.0,941.0,1629821818892
62.0,941.0,1629821818893
62.0,941.0,1629821818893
62.0,941.0,1629821818893
62.0,941.0,1629821818893
62.0,941.0,1629821818895
62.0,941.0,1629821818895
62.0,941.0,1629821818896
62.0,941.0,1629821818896
62.0,941.0,1629821818897
62.0,941.0,1629821818897
62.0,941.0,1629821818898
62.0,941.0,1629821818898
62.0,941.0,1629821818899
62.0,941.0,1629821818899
62.0,941.0,1629821818900
62.0,940.0,1629821818900
62.0,940.0,1629821818901
62.0,940.0,1629821818901
62.0,940.0,1629821818901
62.0,940.0,1629821818902
62.0,940.0,1629821818902
62.0,940.0,1629821818903
62.0,940.0,1629821818903
62.0,940.0,1629821818903
62.0,940.0,1629821818904
62.0,940.0,1629821818905
62.0,940.0,1629821818905
62.0,940.0,1629821818906
62.0,940.0,1629821818906
62.0,940.0,1629821818907
62.0,940.0,1629821818907
62.0,940.0,1629821818907
62.0,940.0,1629821818908
62.0,940.0,1629821818908
62.0,940.0,1629821818908
62.0,940.0,1629821818909
62.0,940.0,1629821818909
62.0,940.0,1629821818910
62.0,940.0,1629821818910
62.0,940.0,1629821818910
62.0,940.0,1629821818911
62.0,940.0,1629821818911
62.0,940.0,1629821818913
62.0,940.0,1629821818913
62.0,940.0,1629821818914
62.0,940.0,1629821818914
62.0,940.0,1629821818914
62.0,940.0,1629821818915
62.0,940.0,1629821818915
62.0,940.0,1629821818915
62.0,939.0,1629821818916
62.0,939.0,1629821818916
62.0,939.0,1629821818917
62.0,939.0,1629821818917
62.0,939.0,1629821818918
62.0,939.0,1629821818918
62.0,939.0,1629821818919
62.0,939.0,1629821818919
62.0,939.0,1629821818920
62.0,939.0,1629821818920
62.0,939.0,1629821818920
62.0,939.0,1629821818921
62.0,939.0,1629821818921
62.0,939.0,1629821818921
62.0,939.0,1629821818922
62.0,939.0,1629821818922
62.0,939.0,1629821818923
62.0,939.0,1629821818923
62.0,939.0,1629821818923
62.0,939.0,1629821818924
62.0,939.0,1629821818924
62.0,939.0,1629821818925
62.0,939.0,1629821818925
62.0,939.0,1629821818926
62.0,939.0,1629821818926
62.0,939.0,1629821818926
62.0,939.0,1629821818927
62.0,939.0,1629821818927
62.0,939.0,1629821818928
62.0,939.0,1629821818928
62.0,939.0,1629821818929
62.0,939.0,1629821818929
62.0,939.0,1629821818929
62.0,939.0,1629821818930
62.0,939.0,1629821818931
62.0,939.0,1629821818932
62.0,939.0,1629821818932
62.0,939.0,1629821818932
62.0,939.0,1629821818932
62.0,939.0,1629821818932
62.0,939.0,1629821818933
62.0,939.0,1629821818933
62.0,939.0,1629821818933
62.0,939.0,1629821818933
62.0,938.0,1629821818933
62.0,938.0,1629821818934
62.0,938.0,1629821818934
62.0,938.0,1629821818934
62.0,938.0,1629821818935
62.0,938.0,1629821818935
62.0,938.0,1629821818935
62.0,938.0,1629821818936
62.0,938.0,1629821818936
62.0,938.0,1629821818936
62.0,938.0,1629821818936
62.0,938.0,1629821818936
62.0,938.0,1629821818937
62.0,938.0,1629821818937
62.0,938.0,1629821818937
62.0,938.0,1629821818937
62.0,938.0,1629821818938
62.0,938.0,1629821818938
62.0,938.0,1629821818938
62.0,938.0,1629821818938
62.0,938.0,1629821818938
62.0,938.0,1629821818939
62.0,938.0,1629821818939
62.0,938.0,1629821818939
62.0,938.0,1629821818939
62.0,938.0,1629821818940
62.0,938.0,1629821818940
62.0,938.0,1629821818940
62.0,938.0,1629821818940
62.0,938.0,1629821818940
62.0,938.0,1629821818941
62.0,938.0,1629821818941
62.0,938.0,1629821818941
62.0,938.0,1629821818941
62.0,938.0,1629821818941
62.0,938.0,1629821818942
62.0,938.0,1629821818942
62.0,938.0,1629821818942
62.0,938.0,1629821818943
62.0,937.0,1629821818943
62.0,937.0,1629821818943
62.0,937.0,1629821818943
62.0,937.0,1629821818943
62.0,937.0,1629821818944
62.0,937.0,1629821818944
62.0,937.0,1629821818944
62.0,937.0,1629821818945
62.0,937.0,1629821818945
62.0,937.0,1629821818945
62.0,937.0,1629821818946
62.0,937.0,1629821818946
62.0,937.0,1629821818946
62.0,937.0,1629821818947
62.0,937.0,1629821818947
62.0,937.0,1629821818947
62.0,937.0,1629821818948
62.0,937.0,1629821818949
62.0,937.0,1629821818951
62.0,937.0,1629821818952
62.0,937.0,1629821818952
62.0,937.0,1629821818952
62.0,937.0,1629821818953
62.0,937.0,1629821818953
62.0,937.0,1629821818953
62.0,937.0,1629821818954
62.0,937.0,1629821818954
62.0,937.0,1629821818954
62.0,937.0,1629821818955
62.0,937.0,1629821818955
62.0,937.0,1629821818955
62.0,937.0,1629821818955
62.0,937.0,1629821818956
62.0,937.0,1629821818956
62.0,937.0,1629821818956
62.0,936.0,1629821818956
62.0,936.0,1629821818957
62.0,936.0,1629821818957
62.0,936.0,1629821818958
62.0,936.0,1629821818958
62.0,936.0,1629821818958
62.0,936.0,1629821818959
62.0,936.0,1629821818959
62.0,936.0,1629821818959
62.0,936.0,1629821818960
62.0,936.0,1629821818960
62.0,936.0,1629821818961
62.0,936.0,1629821818961
62.0,936.0,1629821818961
62.0,936.0,1629821818962
62.0,936.0,1629821818962
62.0,936.0,1629821818962
62.0,936.0,1629821818962
62.0,936.0,1629821818963
62.0,936.0,1629821818963
62.0,936.0,1629821818964
62.0,936.0,1629821818964
62.0,936.0,1629821818964
62.0,936.0,1629821818965
62.0,936.0,1629821818965
62.0,936.0,1629821818965
62.0,936.0,1629821818966
62.0,936.0,1629821818966
62.0,936.0,1629821818966
62.0,936.0,1629821818967
62.0,936.0,1629821818967
62.0,936.0,1629821818967
62.0,936.0,1629821818968
62.0,936.0,1629821818968
62.0,936.0,1629821818968
62.0,936.0,1629821818968
62.0,936.0,1629821818971
62.0,936.0,1629821818972
62.0,935.0,1629821818972
62.0,935.0,1629821818972
62.0,935.0,1629821818972
62.0,935.0,1629821818973
62.0,935.0,1629821818973
62.0,935.0,1629821818973
62.0,935.0,1629821818974
62.0,935.0,1629821818974
62.0,935.0,1629821818975
62.0,935.0,1629821818975
62.0,935.0,1629821818975
62.0,935.0,1629821818975
62.0,935.0,1629821818976
62.0,935.0,1629821818976
62.0,935.0,1629821818976
62.0,935.0,1629821818976
62.0,935.0,1629821818977
62.0,935.0,1629821818977
62.0,935.0,1629821818977
62.0,935.0,1629821818977
62.0,935.0,1629821818978
62.0,935.0,1629821818978
62.0,935.0,1629821818978
62.0,935.0,1629821818978
62.0,935.0,1629821818978
62.0,935.0,1629821818979
62.0,935.0,1629821818979
62.0,935.0,1629821818979
62.0,935.0,1629821818979
62.0,935.0,1629821818979
62.0,935.0,1629821818979
62.0,935.0,1629821818980
62.0,935.0,1629821818980
62.0,935.0,1629821818980
62.0,935.0,1629821818980
62.0,935.0,1629821818980
62.0,935.0,1629821818992
62.0,942.0,1629821818993
62.0,942.0,1629821818993
62.0,942.0,1629821818993
62.0,942.0,1629821818993
62.0,942.0,1629821818993
62.0,942.0,1629821818994
62.0,942.0,1629821818994
62.0,942.0,1629821818994
62.0,942.0,1629821818995
62.0,942.0,1629821818995
62.0,942.0,1629821818995
62.0,942.0,1629821818995
62.0,942.0,1629821818995
62.0,942.0,1629821818996
62.0,942.0,1629821818996
62.0,941.0,1629821818996
62.0,941.0,1629821818996
62.0,941.0,1629821818996
62.0,941.0,1629821818997
62.0,941.0,1629821818997
62.0,941.0,1629821818997
62.0,941.0,1629821818997
