free_memory_MB,allocated_memory_MB,max_memory_MB,total_memory_MB,milliseconds
84.0,128.0,2048.0,2004.0,1629409343227
84.0,128.0,2048.0,2004.0,1629409343227
84.0,128.0,2048.0,2004.0,1629409343227
84.0,128.0,2048.0,2004.0,1629409343227
83.0,128.0,2048.0,2003.0,1629409343228
83.0,128.0,2048.0,2003.0,1629409343228
83.0,128.0,2048.0,2003.0,1629409343228
83.0,128.0,2048.0,2003.0,1629409343228
83.0,128.0,2048.0,2003.0,1629409343229
83.0,128.0,2048.0,2003.0,1629409343229
83.0,128.0,2048.0,2003.0,1629409343229
83.0,128.0,2048.0,2003.0,1629409343229
83.0,128.0,2048.0,2003.0,1629409343229
83.0,128.0,2048.0,2003.0,1629409343230
83.0,128.0,2048.0,2003.0,1629409343230
83.0,128.0,2048.0,2003.0,1629409343230
83.0,128.0,2048.0,2003.0,1629409343230
83.0,128.0,2048.0,2003.0,1629409343230
83.0,128.0,2048.0,2003.0,1629409343231
83.0,128.0,2048.0,2003.0,1629409343231
83.0,128.0,2048.0,2003.0,1629409343231
83.0,128.0,2048.0,2003.0,1629409343231
83.0,128.0,2048.0,2003.0,1629409343231
83.0,128.0,2048.0,2003.0,1629409343231
83.0,128.0,2048.0,2003.0,1629409343231
83.0,128.0,2048.0,2003.0,1629409343231
83.0,128.0,2048.0,2003.0,1629409343232
83.0,128.0,2048.0,2003.0,1629409343232
83.0,128.0,2048.0,2003.0,1629409343232
83.0,128.0,2048.0,2003.0,1629409343232
83.0,128.0,2048.0,2003.0,1629409343232
83.0,128.0,2048.0,2003.0,1629409343232
83.0,128.0,2048.0,2003.0,1629409343232
83.0,128.0,2048.0,2003.0,1629409343233
83.0,128.0,2048.0,2003.0,1629409343233
83.0,128.0,2048.0,2003.0,1629409343233
83.0,128.0,2048.0,2003.0,1629409343233
83.0,128.0,2048.0,2003.0,1629409343233
83.0,128.0,2048.0,2003.0,1629409343233
83.0,128.0,2048.0,2003.0,1629409343233
83.0,128.0,2048.0,2003.0,1629409343234
82.0,128.0,2048.0,2002.0,1629409343234
82.0,128.0,2048.0,2002.0,1629409343234
82.0,128.0,2048.0,2002.0,1629409343234
82.0,128.0,2048.0,2002.0,1629409343234
82.0,128.0,2048.0,2002.0,1629409343234
82.0,128.0,2048.0,2002.0,1629409343235
82.0,128.0,2048.0,2002.0,1629409343235
82.0,128.0,2048.0,2002.0,1629409343235
82.0,128.0,2048.0,2002.0,1629409343235
82.0,128.0,2048.0,2002.0,1629409343235
82.0,128.0,2048.0,2002.0,1629409343235
82.0,128.0,2048.0,2002.0,1629409343236
82.0,128.0,2048.0,2002.0,1629409343236
82.0,128.0,2048.0,2002.0,1629409343236
82.0,128.0,2048.0,2002.0,1629409343236
82.0,128.0,2048.0,2002.0,1629409343236
82.0,128.0,2048.0,2002.0,1629409343236
82.0,128.0,2048.0,2002.0,1629409343236
82.0,128.0,2048.0,2002.0,1629409343236
82.0,128.0,2048.0,2002.0,1629409343237
82.0,128.0,2048.0,2002.0,1629409343237
82.0,128.0,2048.0,2002.0,1629409343237
82.0,128.0,2048.0,2002.0,1629409343237
82.0,128.0,2048.0,2002.0,1629409343237
82.0,128.0,2048.0,2002.0,1629409343237
82.0,128.0,2048.0,2002.0,1629409343238
82.0,128.0,2048.0,2002.0,1629409343238
82.0,128.0,2048.0,2002.0,1629409343238
82.0,128.0,2048.0,2002.0,1629409343238
82.0,128.0,2048.0,2002.0,1629409343239
82.0,128.0,2048.0,2002.0,1629409343239
82.0,128.0,2048.0,2002.0,1629409343239
82.0,128.0,2048.0,2002.0,1629409343239
82.0,128.0,2048.0,2002.0,1629409343241
82.0,128.0,2048.0,2002.0,1629409343241
82.0,128.0,2048.0,2002.0,1629409343241
82.0,128.0,2048.0,2002.0,1629409343242
81.0,128.0,2048.0,2001.0,1629409343242
81.0,128.0,2048.0,2001.0,1629409343242
81.0,128.0,2048.0,2001.0,1629409343242
81.0,128.0,2048.0,2001.0,1629409343243
81.0,128.0,2048.0,2001.0,1629409343243
81.0,128.0,2048.0,2001.0,1629409343243
81.0,128.0,2048.0,2001.0,1629409343243
81.0,128.0,2048.0,2001.0,1629409343243
81.0,128.0,2048.0,2001.0,1629409343243
81.0,128.0,2048.0,2001.0,1629409343244
81.0,128.0,2048.0,2001.0,1629409343244
81.0,128.0,2048.0,2001.0,1629409343244
81.0,128.0,2048.0,2001.0,1629409343244
81.0,128.0,2048.0,2001.0,1629409343244
81.0,128.0,2048.0,2001.0,1629409343244
81.0,128.0,2048.0,2001.0,1629409343244
81.0,128.0,2048.0,2001.0,1629409343245
81.0,128.0,2048.0,2001.0,1629409343245
81.0,128.0,2048.0,2001.0,1629409343245
81.0,128.0,2048.0,2001.0,1629409343246
81.0,128.0,2048.0,2001.0,1629409343246
81.0,128.0,2048.0,2001.0,1629409343247
81.0,128.0,2048.0,2001.0,1629409343247
81.0,128.0,2048.0,2001.0,1629409343247
81.0,128.0,2048.0,2001.0,1629409343247
81.0,128.0,2048.0,2001.0,1629409343247
81.0,128.0,2048.0,2001.0,1629409343248
81.0,128.0,2048.0,2001.0,1629409343248
81.0,128.0,2048.0,2001.0,1629409343248
81.0,128.0,2048.0,2001.0,1629409343248
81.0,128.0,2048.0,2001.0,1629409343249
81.0,128.0,2048.0,2001.0,1629409343249
81.0,128.0,2048.0,2001.0,1629409343249
81.0,128.0,2048.0,2001.0,1629409343249
81.0,128.0,2048.0,2001.0,1629409343249
81.0,128.0,2048.0,2001.0,1629409343250
81.0,128.0,2048.0,2001.0,1629409343250
80.0,128.0,2048.0,2000.0,1629409343250
80.0,128.0,2048.0,2000.0,1629409343250
80.0,128.0,2048.0,2000.0,1629409343250
80.0,128.0,2048.0,2000.0,1629409343251
80.0,128.0,2048.0,2000.0,1629409343251
80.0,128.0,2048.0,2000.0,1629409343251
80.0,128.0,2048.0,2000.0,1629409343252
80.0,128.0,2048.0,2000.0,1629409343252
80.0,128.0,2048.0,2000.0,1629409343252
80.0,128.0,2048.0,2000.0,1629409343252
80.0,128.0,2048.0,2000.0,1629409343252
80.0,128.0,2048.0,2000.0,1629409343253
