free_memory_MB,allocated_memory_MB,max_memory_MB,total_memory_MB,milliseconds
60.0,128.0,2048.0,1980.0,1629409349158
60.0,128.0,2048.0,1980.0,1629409349170
60.0,128.0,2048.0,1980.0,1629409349170
60.0,128.0,2048.0,1980.0,1629409349171
60.0,128.0,2048.0,1980.0,1629409349171
60.0,128.0,2048.0,1980.0,1629409349171
60.0,128.0,2048.0,1980.0,1629409349171
60.0,128.0,2048.0,1980.0,1629409349171
60.0,128.0,2048.0,1980.0,1629409349173
60.0,128.0,2048.0,1980.0,1629409349173
60.0,128.0,2048.0,1980.0,1629409349173
59.0,128.0,2048.0,1979.0,1629409349175
59.0,128.0,2048.0,1979.0,1629409349176
59.0,128.0,2048.0,1979.0,1629409349176
59.0,128.0,2048.0,1979.0,1629409349176
59.0,128.0,2048.0,1979.0,1629409349176
59.0,128.0,2048.0,1979.0,1629409349176
59.0,128.0,2048.0,1979.0,1629409349176
59.0,128.0,2048.0,1979.0,1629409349176
59.0,128.0,2048.0,1979.0,1629409349177
59.0,128.0,2048.0,1979.0,1629409349177
59.0,128.0,2048.0,1979.0,1629409349177
59.0,128.0,2048.0,1979.0,1629409349177
59.0,128.0,2048.0,1979.0,1629409349177
59.0,128.0,2048.0,1979.0,1629409349177
59.0,128.0,2048.0,1979.0,1629409349178
59.0,128.0,2048.0,1979.0,1629409349178
59.0,128.0,2048.0,1979.0,1629409349178
59.0,128.0,2048.0,1979.0,1629409349178
59.0,128.0,2048.0,1979.0,1629409349178
59.0,128.0,2048.0,1979.0,1629409349178
59.0,128.0,2048.0,1979.0,1629409349179
59.0,128.0,2048.0,1979.0,1629409349179
59.0,128.0,2048.0,1979.0,1629409349179
59.0,128.0,2048.0,1979.0,1629409349180
59.0,128.0,2048.0,1979.0,1629409349180
59.0,128.0,2048.0,1979.0,1629409349180
59.0,128.0,2048.0,1979.0,1629409349181
59.0,128.0,2048.0,1979.0,1629409349182
59.0,128.0,2048.0,1979.0,1629409349182
59.0,128.0,2048.0,1979.0,1629409349182
59.0,128.0,2048.0,1979.0,1629409349183
59.0,128.0,2048.0,1979.0,1629409349183
59.0,128.0,2048.0,1979.0,1629409349183
59.0,128.0,2048.0,1979.0,1629409349183
59.0,128.0,2048.0,1979.0,1629409349183
59.0,128.0,2048.0,1979.0,1629409349184
59.0,128.0,2048.0,1979.0,1629409349184
59.0,128.0,2048.0,1979.0,1629409349184
59.0,128.0,2048.0,1979.0,1629409349184
58.0,128.0,2048.0,1978.0,1629409349184
58.0,128.0,2048.0,1978.0,1629409349185
58.0,128.0,2048.0,1978.0,1629409349185
58.0,128.0,2048.0,1978.0,1629409349185
58.0,128.0,2048.0,1978.0,1629409349185
58.0,128.0,2048.0,1978.0,1629409349185
58.0,128.0,2048.0,1978.0,1629409349185
58.0,128.0,2048.0,1978.0,1629409349186
58.0,128.0,2048.0,1978.0,1629409349186
58.0,128.0,2048.0,1978.0,1629409349186
58.0,128.0,2048.0,1978.0,1629409349187
58.0,128.0,2048.0,1978.0,1629409349187
58.0,128.0,2048.0,1978.0,1629409349187
58.0,128.0,2048.0,1978.0,1629409349187
58.0,128.0,2048.0,1978.0,1629409349187
58.0,128.0,2048.0,1978.0,1629409349187
58.0,128.0,2048.0,1978.0,1629409349187
58.0,128.0,2048.0,1978.0,1629409349188
58.0,128.0,2048.0,1978.0,1629409349188
58.0,128.0,2048.0,1978.0,1629409349188
58.0,128.0,2048.0,1978.0,1629409349188
58.0,128.0,2048.0,1978.0,1629409349188
58.0,128.0,2048.0,1978.0,1629409349188
58.0,128.0,2048.0,1978.0,1629409349188
58.0,128.0,2048.0,1978.0,1629409349189
58.0,128.0,2048.0,1978.0,1629409349189
58.0,128.0,2048.0,1978.0,1629409349189
58.0,128.0,2048.0,1978.0,1629409349189
58.0,128.0,2048.0,1978.0,1629409349189
58.0,128.0,2048.0,1978.0,1629409349189
58.0,128.0,2048.0,1978.0,1629409349190
58.0,128.0,2048.0,1978.0,1629409349190
58.0,128.0,2048.0,1978.0,1629409349190
58.0,128.0,2048.0,1978.0,1629409349190
58.0,128.0,2048.0,1978.0,1629409349191
58.0,128.0,2048.0,1978.0,1629409349191
58.0,128.0,2048.0,1978.0,1629409349191
58.0,128.0,2048.0,1978.0,1629409349192
58.0,128.0,2048.0,1978.0,1629409349193
57.0,128.0,2048.0,1977.0,1629409349195
57.0,128.0,2048.0,1977.0,1629409349195
57.0,128.0,2048.0,1977.0,1629409349196
57.0,128.0,2048.0,1977.0,1629409349197
57.0,128.0,2048.0,1977.0,1629409349197
57.0,128.0,2048.0,1977.0,1629409349197
57.0,128.0,2048.0,1977.0,1629409349197
57.0,128.0,2048.0,1977.0,1629409349198
57.0,128.0,2048.0,1977.0,1629409349198
57.0,128.0,2048.0,1977.0,1629409349198
57.0,128.0,2048.0,1977.0,1629409349198
57.0,128.0,2048.0,1977.0,1629409349198
57.0,128.0,2048.0,1977.0,1629409349198
57.0,128.0,2048.0,1977.0,1629409349199
57.0,128.0,2048.0,1977.0,1629409349199
57.0,128.0,2048.0,1977.0,1629409349199
57.0,128.0,2048.0,1977.0,1629409349199
57.0,128.0,2048.0,1977.0,1629409349199
57.0,128.0,2048.0,1977.0,1629409349199
57.0,128.0,2048.0,1977.0,1629409349200
57.0,128.0,2048.0,1977.0,1629409349200
57.0,128.0,2048.0,1977.0,1629409349200
57.0,128.0,2048.0,1977.0,1629409349200
57.0,128.0,2048.0,1977.0,1629409349200
57.0,128.0,2048.0,1977.0,1629409349200
57.0,128.0,2048.0,1977.0,1629409349201
57.0,128.0,2048.0,1977.0,1629409349201
57.0,128.0,2048.0,1977.0,1629409349201
