free_memory_MB,allocated_memory_MB,max_memory_MB,total_memory_MB,milliseconds
87.0,155.0,2048.0,1980.0,1629409356507
87.0,155.0,2048.0,1980.0,1629409356507
87.0,155.0,2048.0,1980.0,1629409356507
87.0,155.0,2048.0,1980.0,1629409356507
87.0,155.0,2048.0,1980.0,1629409356508
87.0,155.0,2048.0,1980.0,1629409356508
87.0,155.0,2048.0,1980.0,1629409356508
87.0,155.0,2048.0,1980.0,1629409356508
87.0,155.0,2048.0,1980.0,1629409356508
87.0,155.0,2048.0,1980.0,1629409356508
87.0,155.0,2048.0,1980.0,1629409356508
87.0,155.0,2048.0,1980.0,1629409356509
87.0,155.0,2048.0,1980.0,1629409356509
87.0,155.0,2048.0,1980.0,1629409356509
87.0,155.0,2048.0,1980.0,1629409356509
87.0,155.0,2048.0,1980.0,1629409356509
87.0,155.0,2048.0,1980.0,1629409356509
87.0,155.0,2048.0,1980.0,1629409356510
87.0,155.0,2048.0,1980.0,1629409356510
87.0,155.0,2048.0,1980.0,1629409356510
86.0,155.0,2048.0,1979.0,1629409356510
86.0,155.0,2048.0,1979.0,1629409356510
86.0,155.0,2048.0,1979.0,1629409356510
86.0,155.0,2048.0,1979.0,1629409356511
86.0,155.0,2048.0,1979.0,1629409356511
86.0,155.0,2048.0,1979.0,1629409356511
86.0,155.0,2048.0,1979.0,1629409356511
86.0,155.0,2048.0,1979.0,1629409356511
86.0,155.0,2048.0,1979.0,1629409356511
86.0,155.0,2048.0,1979.0,1629409356512
86.0,155.0,2048.0,1979.0,1629409356512
86.0,155.0,2048.0,1979.0,1629409356512
86.0,155.0,2048.0,1979.0,1629409356512
86.0,155.0,2048.0,1979.0,1629409356512
86.0,155.0,2048.0,1979.0,1629409356513
86.0,155.0,2048.0,1979.0,1629409356513
86.0,155.0,2048.0,1979.0,1629409356513
86.0,155.0,2048.0,1979.0,1629409356513
86.0,155.0,2048.0,1979.0,1629409356513
86.0,155.0,2048.0,1979.0,1629409356513
86.0,155.0,2048.0,1979.0,1629409356514
86.0,155.0,2048.0,1979.0,1629409356514
86.0,155.0,2048.0,1979.0,1629409356514
86.0,155.0,2048.0,1979.0,1629409356514
86.0,155.0,2048.0,1979.0,1629409356514
86.0,155.0,2048.0,1979.0,1629409356514
86.0,155.0,2048.0,1979.0,1629409356515
86.0,155.0,2048.0,1979.0,1629409356515
86.0,155.0,2048.0,1979.0,1629409356515
86.0,155.0,2048.0,1979.0,1629409356515
86.0,155.0,2048.0,1979.0,1629409356516
86.0,155.0,2048.0,1979.0,1629409356516
86.0,155.0,2048.0,1979.0,1629409356516
86.0,155.0,2048.0,1979.0,1629409356517
86.0,155.0,2048.0,1979.0,1629409356517
86.0,155.0,2048.0,1979.0,1629409356517
