free_memory_MB,allocated_memory_MB,max_memory_MB,total_memory_MB,milliseconds
83.0,155.0,2048.0,1976.0,1629409359761
83.0,155.0,2048.0,1976.0,1629409359761
83.0,155.0,2048.0,1976.0,1629409359764
83.0,155.0,2048.0,1976.0,1629409359765
83.0,155.0,2048.0,1976.0,1629409359766
83.0,155.0,2048.0,1976.0,1629409359767
83.0,155.0,2048.0,1976.0,1629409359767
83.0,155.0,2048.0,1976.0,1629409359767
83.0,155.0,2048.0,1976.0,1629409359767
83.0,155.0,2048.0,1976.0,1629409359767
83.0,155.0,2048.0,1976.0,1629409359767
83.0,155.0,2048.0,1976.0,1629409359768
83.0,155.0,2048.0,1976.0,1629409359768
83.0,155.0,2048.0,1976.0,1629409359768
83.0,155.0,2048.0,1976.0,1629409359768
83.0,155.0,2048.0,1976.0,1629409359768
83.0,155.0,2048.0,1976.0,1629409359768
83.0,155.0,2048.0,1976.0,1629409359768
83.0,155.0,2048.0,1976.0,1629409359769
83.0,155.0,2048.0,1976.0,1629409359769
83.0,155.0,2048.0,1976.0,1629409359769
83.0,155.0,2048.0,1976.0,1629409359769
82.0,155.0,2048.0,1975.0,1629409359769
82.0,155.0,2048.0,1975.0,1629409359769
82.0,155.0,2048.0,1975.0,1629409359769
82.0,155.0,2048.0,1975.0,1629409359769
82.0,155.0,2048.0,1975.0,1629409359770
82.0,155.0,2048.0,1975.0,1629409359770
82.0,155.0,2048.0,1975.0,1629409359770
82.0,155.0,2048.0,1975.0,1629409359770
82.0,155.0,2048.0,1975.0,1629409359770
82.0,155.0,2048.0,1975.0,1629409359770
82.0,155.0,2048.0,1975.0,1629409359770
82.0,155.0,2048.0,1975.0,1629409359771
82.0,155.0,2048.0,1975.0,1629409359771
82.0,155.0,2048.0,1975.0,1629409359771
82.0,155.0,2048.0,1975.0,1629409359771
82.0,155.0,2048.0,1975.0,1629409359772
82.0,155.0,2048.0,1975.0,1629409359772
82.0,155.0,2048.0,1975.0,1629409359772
82.0,155.0,2048.0,1975.0,1629409359773
82.0,155.0,2048.0,1975.0,1629409359773
82.0,155.0,2048.0,1975.0,1629409359775
82.0,155.0,2048.0,1975.0,1629409359847
82.0,155.0,2048.0,1975.0,1629409359894
82.0,155.0,2048.0,1975.0,1629409359895
82.0,155.0,2048.0,1975.0,1629409359895
82.0,155.0,2048.0,1975.0,1629409359895
82.0,155.0,2048.0,1975.0,1629409359896
82.0,155.0,2048.0,1975.0,1629409359898
82.0,155.0,2048.0,1975.0,1629409359898
82.0,155.0,2048.0,1975.0,1629409359898
82.0,155.0,2048.0,1975.0,1629409359899
82.0,155.0,2048.0,1975.0,1629409359900
82.0,155.0,2048.0,1975.0,1629409359900
82.0,155.0,2048.0,1975.0,1629409359900
82.0,155.0,2048.0,1975.0,1629409359900
82.0,155.0,2048.0,1975.0,1629409359900
82.0,155.0,2048.0,1975.0,1629409359901
82.0,155.0,2048.0,1975.0,1629409359901
82.0,155.0,2048.0,1975.0,1629409359902
81.0,155.0,2048.0,1974.0,1629409359902
81.0,155.0,2048.0,1974.0,1629409359902
81.0,155.0,2048.0,1974.0,1629409359911
81.0,155.0,2048.0,1974.0,1629409359911
81.0,155.0,2048.0,1974.0,1629409359912
81.0,155.0,2048.0,1974.0,1629409359913
81.0,155.0,2048.0,1974.0,1629409359914
81.0,155.0,2048.0,1974.0,1629409359914
81.0,155.0,2048.0,1974.0,1629409359914
81.0,155.0,2048.0,1974.0,1629409359915
81.0,155.0,2048.0,1974.0,1629409359915
81.0,155.0,2048.0,1974.0,1629409359916
81.0,155.0,2048.0,1974.0,1629409359917
81.0,155.0,2048.0,1974.0,1629409359917
81.0,155.0,2048.0,1974.0,1629409359917
81.0,155.0,2048.0,1974.0,1629409359918
81.0,155.0,2048.0,1974.0,1629409359918
81.0,155.0,2048.0,1974.0,1629409359919
81.0,155.0,2048.0,1974.0,1629409359920
81.0,155.0,2048.0,1974.0,1629409359920
81.0,155.0,2048.0,1974.0,1629409359920
81.0,155.0,2048.0,1974.0,1629409359920
81.0,155.0,2048.0,1974.0,1629409359921
81.0,155.0,2048.0,1974.0,1629409359921
81.0,155.0,2048.0,1974.0,1629409359921
81.0,155.0,2048.0,1974.0,1629409359921
81.0,155.0,2048.0,1974.0,1629409359922
81.0,155.0,2048.0,1974.0,1629409359922
81.0,155.0,2048.0,1974.0,1629409359922
81.0,155.0,2048.0,1974.0,1629409359922
81.0,155.0,2048.0,1974.0,1629409359923
81.0,155.0,2048.0,1974.0,1629409359923
81.0,155.0,2048.0,1974.0,1629409359923
81.0,155.0,2048.0,1974.0,1629409359925
81.0,155.0,2048.0,1974.0,1629409359926
81.0,155.0,2048.0,1974.0,1629409359926
81.0,155.0,2048.0,1974.0,1629409359927
81.0,155.0,2048.0,1974.0,1629409359927
80.0,155.0,2048.0,1973.0,1629409359927
80.0,155.0,2048.0,1973.0,1629409359928
80.0,155.0,2048.0,1973.0,1629409359928
80.0,155.0,2048.0,1973.0,1629409359928
80.0,155.0,2048.0,1973.0,1629409359930
80.0,155.0,2048.0,1973.0,1629409359931
80.0,155.0,2048.0,1973.0,1629409359931
80.0,155.0,2048.0,1973.0,1629409359931
80.0,155.0,2048.0,1973.0,1629409359932
80.0,155.0,2048.0,1973.0,1629409359932
80.0,155.0,2048.0,1973.0,1629409359932
80.0,155.0,2048.0,1973.0,1629409359933
80.0,155.0,2048.0,1973.0,1629409359933
80.0,155.0,2048.0,1973.0,1629409359934
80.0,155.0,2048.0,1973.0,1629409359934
80.0,155.0,2048.0,1973.0,1629409359934
80.0,155.0,2048.0,1973.0,1629409359935
80.0,155.0,2048.0,1973.0,1629409359935
80.0,155.0,2048.0,1973.0,1629409359936
80.0,155.0,2048.0,1973.0,1629409359936
80.0,155.0,2048.0,1973.0,1629409359937
80.0,155.0,2048.0,1973.0,1629409359937
80.0,155.0,2048.0,1973.0,1629409359937
80.0,155.0,2048.0,1973.0,1629409359937
80.0,155.0,2048.0,1973.0,1629409359938
80.0,155.0,2048.0,1973.0,1629409359938
80.0,155.0,2048.0,1973.0,1629409359938
80.0,155.0,2048.0,1973.0,1629409359939
80.0,155.0,2048.0,1973.0,1629409359939
80.0,155.0,2048.0,1973.0,1629409359939
80.0,155.0,2048.0,1973.0,1629409359939
80.0,155.0,2048.0,1973.0,1629409359939
80.0,155.0,2048.0,1973.0,1629409359940
80.0,155.0,2048.0,1973.0,1629409359940
80.0,155.0,2048.0,1973.0,1629409359941
80.0,155.0,2048.0,1973.0,1629409359941
80.0,155.0,2048.0,1973.0,1629409359941
80.0,155.0,2048.0,1973.0,1629409359945
80.0,155.0,2048.0,1973.0,1629409359950
79.0,155.0,2048.0,1972.0,1629409359951
79.0,155.0,2048.0,1972.0,1629409359951
79.0,155.0,2048.0,1972.0,1629409359952
79.0,155.0,2048.0,1972.0,1629409359952
79.0,155.0,2048.0,1972.0,1629409359953
79.0,155.0,2048.0,1972.0,1629409359953
79.0,155.0,2048.0,1972.0,1629409359954
79.0,155.0,2048.0,1972.0,1629409359959
79.0,155.0,2048.0,1972.0,1629409359959
79.0,155.0,2048.0,1972.0,1629409359960
79.0,155.0,2048.0,1972.0,1629409359960
79.0,155.0,2048.0,1972.0,1629409359961
79.0,155.0,2048.0,1972.0,1629409359962
79.0,155.0,2048.0,1972.0,1629409359964
79.0,155.0,2048.0,1972.0,1629409359965
79.0,155.0,2048.0,1972.0,1629409359966
79.0,155.0,2048.0,1972.0,1629409359966
79.0,155.0,2048.0,1972.0,1629409359966
79.0,155.0,2048.0,1972.0,1629409359967
79.0,155.0,2048.0,1972.0,1629409359967
79.0,155.0,2048.0,1972.0,1629409359967
79.0,155.0,2048.0,1972.0,1629409359967
79.0,155.0,2048.0,1972.0,1629409359967
79.0,155.0,2048.0,1972.0,1629409359968
79.0,155.0,2048.0,1972.0,1629409359968
79.0,155.0,2048.0,1972.0,1629409359968
79.0,155.0,2048.0,1972.0,1629409359968
79.0,155.0,2048.0,1972.0,1629409359969
79.0,155.0,2048.0,1972.0,1629409359969
79.0,155.0,2048.0,1972.0,1629409359969
79.0,155.0,2048.0,1972.0,1629409359969
79.0,155.0,2048.0,1972.0,1629409359969
79.0,155.0,2048.0,1972.0,1629409359970
79.0,155.0,2048.0,1972.0,1629409359970
79.0,155.0,2048.0,1972.0,1629409359972
79.0,155.0,2048.0,1972.0,1629409359973
79.0,155.0,2048.0,1972.0,1629409359973
79.0,155.0,2048.0,1972.0,1629409359973
79.0,155.0,2048.0,1972.0,1629409359973
78.0,155.0,2048.0,1971.0,1629409359973
78.0,155.0,2048.0,1971.0,1629409359974
78.0,155.0,2048.0,1971.0,1629409359974
78.0,155.0,2048.0,1971.0,1629409359974
78.0,155.0,2048.0,1971.0,1629409359975
78.0,155.0,2048.0,1971.0,1629409359975
78.0,155.0,2048.0,1971.0,1629409359995
78.0,155.0,2048.0,1971.0,1629409359996
78.0,155.0,2048.0,1971.0,1629409360014
78.0,155.0,2048.0,1971.0,1629409360094
