free_memory_MB,allocated_memory_MB,max_memory_MB,total_memory_MB,milliseconds
130.0,186.0,2048.0,1992.0,1629409377415
130.0,186.0,2048.0,1992.0,1629409377416
130.0,186.0,2048.0,1992.0,1629409377418
129.0,186.0,2048.0,1991.0,1629409377420
129.0,186.0,2048.0,1991.0,1629409377422
129.0,186.0,2048.0,1991.0,1629409377425
128.0,186.0,2048.0,1990.0,1629409377427
128.0,186.0,2048.0,1990.0,1629409377430
128.0,186.0,2048.0,1990.0,1629409377432
128.0,186.0,2048.0,1990.0,1629409377434
127.0,186.0,2048.0,1989.0,1629409377436
127.0,186.0,2048.0,1989.0,1629409377440
127.0,186.0,2048.0,1989.0,1629409377450
126.0,186.0,2048.0,1988.0,1629409377452
126.0,186.0,2048.0,1988.0,1629409377470
126.0,186.0,2048.0,1988.0,1629409377473
126.0,186.0,2048.0,1988.0,1629409377489
125.0,186.0,2048.0,1987.0,1629409377500
125.0,186.0,2048.0,1987.0,1629409377513
125.0,186.0,2048.0,1987.0,1629409377520
124.0,186.0,2048.0,1986.0,1629409377521
124.0,186.0,2048.0,1986.0,1629409377532
124.0,186.0,2048.0,1986.0,1629409377533
124.0,186.0,2048.0,1986.0,1629409377551
123.0,186.0,2048.0,1985.0,1629409377580
123.0,186.0,2048.0,1985.0,1629409377658
123.0,186.0,2048.0,1985.0,1629409377689
123.0,186.0,2048.0,1985.0,1629409377690
122.0,186.0,2048.0,1984.0,1629409377692
122.0,186.0,2048.0,1984.0,1629409377693
122.0,186.0,2048.0,1984.0,1629409377698
122.0,186.0,2048.0,1984.0,1629409377700
121.0,186.0,2048.0,1983.0,1629409377701
121.0,186.0,2048.0,1983.0,1629409377702
121.0,186.0,2048.0,1983.0,1629409377704
121.0,186.0,2048.0,1983.0,1629409377706
120.0,186.0,2048.0,1982.0,1629409377708
120.0,186.0,2048.0,1982.0,1629409377709
120.0,186.0,2048.0,1982.0,1629409377711
120.0,186.0,2048.0,1982.0,1629409377714
120.0,186.0,2048.0,1982.0,1629409377715
119.0,186.0,2048.0,1981.0,1629409377717
119.0,186.0,2048.0,1981.0,1629409377720
119.0,186.0,2048.0,1981.0,1629409377721
119.0,186.0,2048.0,1981.0,1629409377723
118.0,186.0,2048.0,1980.0,1629409377724
118.0,186.0,2048.0,1980.0,1629409377725
118.0,186.0,2048.0,1980.0,1629409377727
118.0,186.0,2048.0,1980.0,1629409377728
118.0,186.0,2048.0,1980.0,1629409377730
117.0,186.0,2048.0,1979.0,1629409377731
117.0,186.0,2048.0,1979.0,1629409377733
117.0,186.0,2048.0,1979.0,1629409377738
117.0,186.0,2048.0,1979.0,1629409377740
117.0,186.0,2048.0,1979.0,1629409377741
116.0,186.0,2048.0,1978.0,1629409377742
116.0,186.0,2048.0,1978.0,1629409377747
116.0,186.0,2048.0,1978.0,1629409377749
116.0,186.0,2048.0,1978.0,1629409377750
116.0,186.0,2048.0,1978.0,1629409377827
115.0,186.0,2048.0,1977.0,1629409377878
115.0,186.0,2048.0,1977.0,1629409377882
115.0,186.0,2048.0,1977.0,1629409377883
115.0,186.0,2048.0,1977.0,1629409377885
115.0,186.0,2048.0,1977.0,1629409377886
114.0,186.0,2048.0,1976.0,1629409377887
114.0,186.0,2048.0,1976.0,1629409377889
114.0,186.0,2048.0,1976.0,1629409377890
114.0,186.0,2048.0,1976.0,1629409377894
114.0,186.0,2048.0,1976.0,1629409377898
114.0,186.0,2048.0,1976.0,1629409377900
113.0,186.0,2048.0,1975.0,1629409377901
113.0,186.0,2048.0,1975.0,1629409377902
113.0,186.0,2048.0,1975.0,1629409377903
113.0,186.0,2048.0,1975.0,1629409377904
113.0,186.0,2048.0,1975.0,1629409377906
113.0,186.0,2048.0,1975.0,1629409377908
112.0,186.0,2048.0,1974.0,1629409377914
112.0,186.0,2048.0,1974.0,1629409377915
112.0,186.0,2048.0,1974.0,1629409377916
112.0,186.0,2048.0,1974.0,1629409377918
112.0,186.0,2048.0,1974.0,1629409377919
112.0,186.0,2048.0,1974.0,1629409377920
112.0,186.0,2048.0,1974.0,1629409377921
112.0,186.0,2048.0,1974.0,1629409377922
111.0,186.0,2048.0,1973.0,1629409377923
111.0,186.0,2048.0,1973.0,1629409377924
111.0,186.0,2048.0,1973.0,1629409377935
111.0,186.0,2048.0,1973.0,1629409377937
111.0,186.0,2048.0,1973.0,1629409377939
111.0,186.0,2048.0,1973.0,1629409377941
111.0,186.0,2048.0,1973.0,1629409377941
111.0,186.0,2048.0,1973.0,1629409377942
110.0,186.0,2048.0,1972.0,1629409377943
110.0,186.0,2048.0,1972.0,1629409377943
110.0,186.0,2048.0,1972.0,1629409377944
110.0,186.0,2048.0,1972.0,1629409377948
110.0,186.0,2048.0,1972.0,1629409377949
110.0,186.0,2048.0,1972.0,1629409377950
110.0,186.0,2048.0,1972.0,1629409377950
110.0,186.0,2048.0,1972.0,1629409377951
110.0,186.0,2048.0,1972.0,1629409377953
110.0,186.0,2048.0,1972.0,1629409377954
110.0,186.0,2048.0,1972.0,1629409377955
109.0,186.0,2048.0,1971.0,1629409377956
109.0,186.0,2048.0,1971.0,1629409377959
109.0,186.0,2048.0,1971.0,1629409377959
109.0,186.0,2048.0,1971.0,1629409377960
109.0,186.0,2048.0,1971.0,1629409377963
109.0,186.0,2048.0,1971.0,1629409377964
109.0,186.0,2048.0,1971.0,1629409377965
109.0,186.0,2048.0,1971.0,1629409377965
109.0,186.0,2048.0,1971.0,1629409377966
109.0,186.0,2048.0,1971.0,1629409377966
109.0,186.0,2048.0,1971.0,1629409377968
109.0,186.0,2048.0,1971.0,1629409377971
109.0,186.0,2048.0,1971.0,1629409377972
108.0,186.0,2048.0,1970.0,1629409377978
108.0,186.0,2048.0,1970.0,1629409377979
108.0,186.0,2048.0,1970.0,1629409377979
108.0,186.0,2048.0,1970.0,1629409377979
108.0,186.0,2048.0,1970.0,1629409377979
108.0,186.0,2048.0,1970.0,1629409377981
108.0,186.0,2048.0,1970.0,1629409377981
108.0,186.0,2048.0,1970.0,1629409377981
108.0,186.0,2048.0,1970.0,1629409377982
108.0,186.0,2048.0,1970.0,1629409377982
108.0,186.0,2048.0,1970.0,1629409377982
108.0,186.0,2048.0,1970.0,1629409377982
108.0,186.0,2048.0,1970.0,1629409377982
108.0,186.0,2048.0,1970.0,1629409377983
108.0,186.0,2048.0,1970.0,1629409377983
108.0,186.0,2048.0,1970.0,1629409377983
108.0,186.0,2048.0,1970.0,1629409377984
108.0,186.0,2048.0,1970.0,1629409377986
108.0,186.0,2048.0,1970.0,1629409377986
108.0,186.0,2048.0,1970.0,1629409377986
108.0,186.0,2048.0,1970.0,1629409377987
108.0,186.0,2048.0,1970.0,1629409377987
108.0,186.0,2048.0,1970.0,1629409377987
108.0,186.0,2048.0,1970.0,1629409377988
108.0,186.0,2048.0,1970.0,1629409377988
108.0,186.0,2048.0,1970.0,1629409377988
108.0,186.0,2048.0,1970.0,1629409377988
108.0,186.0,2048.0,1970.0,1629409377988
108.0,186.0,2048.0,1970.0,1629409377989
107.0,186.0,2048.0,1969.0,1629409377989
107.0,186.0,2048.0,1969.0,1629409377989
107.0,186.0,2048.0,1969.0,1629409377989
107.0,186.0,2048.0,1969.0,1629409377995
107.0,186.0,2048.0,1969.0,1629409377995
107.0,186.0,2048.0,1969.0,1629409377996
107.0,186.0,2048.0,1969.0,1629409377996
107.0,186.0,2048.0,1969.0,1629409377996
107.0,186.0,2048.0,1969.0,1629409377997
107.0,186.0,2048.0,1969.0,1629409377998
107.0,186.0,2048.0,1969.0,1629409377998
107.0,186.0,2048.0,1969.0,1629409377998
107.0,186.0,2048.0,1969.0,1629409377998
107.0,186.0,2048.0,1969.0,1629409377999
107.0,186.0,2048.0,1969.0,1629409377999
107.0,186.0,2048.0,1969.0,1629409377999
107.0,186.0,2048.0,1969.0,1629409377999
107.0,186.0,2048.0,1969.0,1629409377999
107.0,186.0,2048.0,1969.0,1629409377999
107.0,186.0,2048.0,1969.0,1629409377999
107.0,186.0,2048.0,1969.0,1629409378000
107.0,186.0,2048.0,1969.0,1629409378000
107.0,186.0,2048.0,1969.0,1629409378000
107.0,186.0,2048.0,1969.0,1629409378000
107.0,186.0,2048.0,1969.0,1629409378000
107.0,186.0,2048.0,1969.0,1629409378002
107.0,186.0,2048.0,1969.0,1629409378002
107.0,186.0,2048.0,1969.0,1629409378003
107.0,186.0,2048.0,1969.0,1629409378003
107.0,186.0,2048.0,1969.0,1629409378003
107.0,186.0,2048.0,1969.0,1629409378003
107.0,186.0,2048.0,1969.0,1629409378003
107.0,186.0,2048.0,1969.0,1629409378003
107.0,186.0,2048.0,1969.0,1629409378003
107.0,186.0,2048.0,1969.0,1629409378004
107.0,186.0,2048.0,1969.0,1629409378004
107.0,186.0,2048.0,1969.0,1629409378004
107.0,186.0,2048.0,1969.0,1629409378004
106.0,186.0,2048.0,1968.0,1629409378004
106.0,186.0,2048.0,1968.0,1629409378005
106.0,186.0,2048.0,1968.0,1629409378007
106.0,186.0,2048.0,1968.0,1629409378007
106.0,186.0,2048.0,1968.0,1629409378007
106.0,186.0,2048.0,1968.0,1629409378007
106.0,186.0,2048.0,1968.0,1629409378012
106.0,186.0,2048.0,1968.0,1629409378015
106.0,186.0,2048.0,1968.0,1629409378016
106.0,186.0,2048.0,1968.0,1629409378017
106.0,186.0,2048.0,1968.0,1629409378018
106.0,186.0,2048.0,1968.0,1629409378018
106.0,186.0,2048.0,1968.0,1629409378019
106.0,186.0,2048.0,1968.0,1629409378019
106.0,186.0,2048.0,1968.0,1629409378019
106.0,186.0,2048.0,1968.0,1629409378020
106.0,186.0,2048.0,1968.0,1629409378023
106.0,186.0,2048.0,1968.0,1629409378023
106.0,186.0,2048.0,1968.0,1629409378024
106.0,186.0,2048.0,1968.0,1629409378025
106.0,186.0,2048.0,1968.0,1629409378026
106.0,186.0,2048.0,1968.0,1629409378026
106.0,186.0,2048.0,1968.0,1629409378026
106.0,186.0,2048.0,1968.0,1629409378027
106.0,186.0,2048.0,1968.0,1629409378027
106.0,186.0,2048.0,1968.0,1629409378027
106.0,186.0,2048.0,1968.0,1629409378035
106.0,186.0,2048.0,1968.0,1629409378037
106.0,186.0,2048.0,1968.0,1629409378038
106.0,186.0,2048.0,1968.0,1629409378041
106.0,186.0,2048.0,1968.0,1629409378042
106.0,186.0,2048.0,1968.0,1629409378042
106.0,186.0,2048.0,1968.0,1629409378043
106.0,186.0,2048.0,1968.0,1629409378043
106.0,186.0,2048.0,1968.0,1629409378063
