free_memory_MB,allocated_memory_MB,max_memory_MB,total_memory_MB,milliseconds
49.0,155.0,2048.0,1942.0,1629409366835
49.0,155.0,2048.0,1942.0,1629409366836
49.0,155.0,2048.0,1942.0,1629409366838
49.0,155.0,2048.0,1942.0,1629409366839
49.0,155.0,2048.0,1942.0,1629409366840
49.0,155.0,2048.0,1942.0,1629409366840
49.0,155.0,2048.0,1942.0,1629409366840
49.0,155.0,2048.0,1942.0,1629409366840
49.0,155.0,2048.0,1942.0,1629409366841
49.0,155.0,2048.0,1942.0,1629409366841
49.0,155.0,2048.0,1942.0,1629409366841
49.0,155.0,2048.0,1942.0,1629409366841
49.0,155.0,2048.0,1942.0,1629409366841
49.0,155.0,2048.0,1942.0,1629409366841
49.0,155.0,2048.0,1942.0,1629409366841
49.0,155.0,2048.0,1942.0,1629409366842
49.0,155.0,2048.0,1942.0,1629409366842
49.0,155.0,2048.0,1942.0,1629409366842
49.0,155.0,2048.0,1942.0,1629409366843
49.0,155.0,2048.0,1942.0,1629409366844
49.0,155.0,2048.0,1942.0,1629409366844
48.0,155.0,2048.0,1941.0,1629409366870
48.0,155.0,2048.0,1941.0,1629409366871
48.0,155.0,2048.0,1941.0,1629409366871
48.0,155.0,2048.0,1941.0,1629409366871
48.0,155.0,2048.0,1941.0,1629409366871
48.0,155.0,2048.0,1941.0,1629409366874
48.0,155.0,2048.0,1941.0,1629409366956
48.0,155.0,2048.0,1941.0,1629409367039
48.0,155.0,2048.0,1941.0,1629409367048
48.0,155.0,2048.0,1941.0,1629409367048
48.0,155.0,2048.0,1941.0,1629409367048
48.0,155.0,2048.0,1941.0,1629409367048
48.0,155.0,2048.0,1941.0,1629409367050
48.0,155.0,2048.0,1941.0,1629409367050
48.0,155.0,2048.0,1941.0,1629409367050
48.0,155.0,2048.0,1941.0,1629409367050
48.0,155.0,2048.0,1941.0,1629409367051
48.0,155.0,2048.0,1941.0,1629409367051
48.0,155.0,2048.0,1941.0,1629409367051
48.0,155.0,2048.0,1941.0,1629409367052
48.0,155.0,2048.0,1941.0,1629409367052
48.0,155.0,2048.0,1941.0,1629409367052
48.0,155.0,2048.0,1941.0,1629409367052
48.0,155.0,2048.0,1941.0,1629409367052
48.0,155.0,2048.0,1941.0,1629409367053
48.0,155.0,2048.0,1941.0,1629409367053
48.0,155.0,2048.0,1941.0,1629409367053
48.0,155.0,2048.0,1941.0,1629409367053
