allocated_memory_MB,total_memory_MB,milliseconds
62.0,938.0,1629819238237
62.0,935.0,1629819238282
62.0,941.0,1629819238314
62.0,939.0,1629819238327
62.0,937.0,1629819238340
62.0,934.0,1629819238351
62.0,941.0,1629819238368
62.0,938.0,1629819238376
62.0,936.0,1629819238381
62.0,934.0,1629819238387
62.0,932.0,1629819238392
62.0,930.0,1629819238398
62.0,928.0,1629819238405
62.0,925.0,1629819238412
62.0,941.0,1629819238424
62.0,939.0,1629819238430
62.0,937.0,1629819238436
62.0,935.0,1629819238442
62.0,933.0,1629819238448
62.0,930.0,1629819238457
62.0,928.0,1629819238464
62.0,926.0,1629819238471
62.0,924.0,1629819238478
62.0,922.0,1629819238484
62.0,920.0,1629819238491
62.0,917.0,1629819238498
62.0,915.0,1629819238505
62.0,913.0,1629819238511
62.0,942.0,1629819238519
62.0,940.0,1629819238524
62.0,938.0,1629819238528
62.0,935.0,1629819238534
62.0,933.0,1629819238539
62.0,931.0,1629819238543
62.0,929.0,1629819238550
62.0,927.0,1629819238557
62.0,925.0,1629819238562
62.0,922.0,1629819238567
62.0,920.0,1629819238574
62.0,918.0,1629819238578
62.0,916.0,1629819238583
62.0,914.0,1629819238588
62.0,912.0,1629819238592
62.0,910.0,1629819238597
62.0,907.0,1629819238603
62.0,940.0,1629819238609
62.0,938.0,1629819238613
62.0,936.0,1629819238617
62.0,934.0,1629819238623
62.0,932.0,1629819238628
62.0,929.0,1629819238634
62.0,927.0,1629819238639
62.0,925.0,1629819238643
62.0,923.0,1629819238647
62.0,921.0,1629819238652
62.0,919.0,1629819238657
62.0,916.0,1629819238661
62.0,914.0,1629819238666
62.0,912.0,1629819238671
62.0,910.0,1629819238676
62.0,908.0,1629819238681
62.0,941.0,1629819238686
62.0,939.0,1629819238691
62.0,936.0,1629819238695
62.0,934.0,1629819238700
62.0,932.0,1629819238704
62.0,930.0,1629819238708
62.0,928.0,1629819238712
62.0,926.0,1629819238716
62.0,924.0,1629819238720
62.0,921.0,1629819238724
62.0,919.0,1629819238728
62.0,917.0,1629819238733
62.0,915.0,1629819238737
62.0,913.0,1629819238741
62.0,911.0,1629819238745
62.0,909.0,1629819238751
62.0,941.0,1629819238759
62.0,939.0,1629819238763
62.0,937.0,1629819238767
62.0,935.0,1629819238772
62.0,933.0,1629819238777
62.0,931.0,1629819238782
62.0,929.0,1629819238786
62.0,926.0,1629819238792
62.0,924.0,1629819238797
62.0,922.0,1629819238803
62.0,920.0,1629819238807
62.0,918.0,1629819238811
62.0,916.0,1629819238816
62.0,914.0,1629819238820
62.0,911.0,1629819238824
62.0,909.0,1629819238829
62.0,907.0,1629819238833
62.0,940.0,1629819238841
62.0,938.0,1629819238847
62.0,936.0,1629819238852
62.0,934.0,1629819238858
62.0,931.0,1629819238864
62.0,929.0,1629819238870
62.0,927.0,1629819238876
62.0,925.0,1629819238880
62.0,923.0,1629819238885
62.0,921.0,1629819238891
62.0,919.0,1629819238895
62.0,917.0,1629819238899
62.0,914.0,1629819238905
62.0,912.0,1629819238912
62.0,910.0,1629819238916
62.0,908.0,1629819238921
62.0,941.0,1629819238929
62.0,939.0,1629819238933
62.0,937.0,1629819238939
62.0,935.0,1629819238946
62.0,932.0,1629819238951
62.0,930.0,1629819238958
62.0,928.0,1629819238964
62.0,926.0,1629819238970
62.0,924.0,1629819238976
62.0,922.0,1629819238982
62.0,920.0,1629819238989
62.0,918.0,1629819238996
62.0,915.0,1629819239000
62.0,913.0,1629819239005
62.0,911.0,1629819239010
62.0,909.0,1629819239016
62.0,942.0,1629819239022
62.0,940.0,1629819239026
62.0,938.0,1629819239030
62.0,936.0,1629819239036
62.0,933.0,1629819239040
62.0,931.0,1629819239045
62.0,929.0,1629819239049
62.0,927.0,1629819239054
62.0,925.0,1629819239059
62.0,923.0,1629819239063
62.0,921.0,1629819239067
62.0,919.0,1629819239073
62.0,916.0,1629819239077
62.0,914.0,1629819239081
62.0,912.0,1629819239086
62.0,910.0,1629819239090
62.0,908.0,1629819239094
62.0,941.0,1629819239099
62.0,939.0,1629819239103
62.0,937.0,1629819239108
62.0,934.0,1629819239112
62.0,932.0,1629819239116
62.0,930.0,1629819239120
62.0,928.0,1629819239124
62.0,926.0,1629819239128
