allocated_memory_MB,total_memory_MB,milliseconds
139.0,896.0,1629819260845
139.0,893.0,1629819260889
139.0,889.0,1629819260910
139.0,885.0,1629819260929
139.0,881.0,1629819260946
139.0,878.0,1629819260963
139.0,874.0,1629819260978
139.0,870.0,1629819260994
139.0,866.0,1629819261010
139.0,862.0,1629819261027
139.0,859.0,1629819261042
139.0,855.0,1629819261054
139.0,928.0,1629819261078
139.0,924.0,1629819261090
139.0,920.0,1629819261102
139.0,916.0,1629819261115
139.0,913.0,1629819261128
139.0,909.0,1629819261143
139.0,905.0,1629819261155
139.0,901.0,1629819261169
139.0,898.0,1629819261188
139.0,894.0,1629819261206
139.0,890.0,1629819261225
139.0,886.0,1629819261247
139.0,883.0,1629819261266
139.0,879.0,1629819261287
139.0,875.0,1629819261307
139.0,871.0,1629819261352
139.0,864.0,1629819261401
139.0,860.0,1629819261425
139.0,930.0,1629819261463
139.0,924.0,1629819261484
139.0,919.0,1629819261499
139.0,915.0,1629819261515
139.0,909.0,1629819261539
139.0,902.0,1629819261559
139.0,897.0,1629819261578
139.0,893.0,1629819261594
139.0,889.0,1629819261609
139.0,884.0,1629819261627
139.0,880.0,1629819261644
139.0,876.0,1629819261660
139.0,872.0,1629819261675
139.0,868.0,1629819261691
139.0,861.0,1629819261716
139.0,857.0,1629819261733
139.0,928.0,1629819261762
139.0,924.0,1629819261778
139.0,918.0,1629819261803
139.0,914.0,1629819261824
139.0,909.0,1629819261847
139.0,904.0,1629819261867
139.0,900.0,1629819261890
139.0,895.0,1629819261911
139.0,889.0,1629819261937
139.0,883.0,1629819261964
139.0,877.0,1629819261983
139.0,871.0,1629819262005
139.0,865.0,1629819262029
139.0,858.0,1629819262050
139.0,930.0,1629819262079
139.0,925.0,1629819262099
139.0,921.0,1629819262114
139.0,916.0,1629819262143
139.0,910.0,1629819262171
139.0,903.0,1629819262199
139.0,898.0,1629819262214
139.0,892.0,1629819262248
139.0,886.0,1629819262277
139.0,880.0,1629819262304
139.0,874.0,1629819262336
139.0,867.0,1629819262369
139.0,860.0,1629819262392
197.0,930.0,1629819262432
197.0,924.0,1629819262460
197.0,917.0,1629819262486
197.0,911.0,1629819262513
197.0,904.0,1629819262536
197.0,898.0,1629819262564
197.0,891.0,1629819262594
197.0,885.0,1629819262628
197.0,877.0,1629819262654
197.0,870.0,1629819262679
197.0,863.0,1629819262705
197.0,857.0,1629819262727
197.0,850.0,1629819262744
197.0,844.0,1629819262758
197.0,838.0,1629819262769
197.0,833.0,1629819262780
197.0,828.0,1629819262791
197.0,823.0,1629819262800
197.0,819.0,1629819262810
197.0,925.0,1629819262831
197.0,918.0,1629819262846
197.0,911.0,1629819262860
197.0,905.0,1629819262874
197.0,898.0,1629819262888
197.0,892.0,1629819262904
197.0,885.0,1629819262917
197.0,878.0,1629819262932
197.0,871.0,1629819262949
197.0,865.0,1629819262962
197.0,858.0,1629819262975
197.0,853.0,1629819262986
197.0,848.0,1629819262997
197.0,843.0,1629819263008
197.0,837.0,1629819263021
197.0,832.0,1629819263031
197.0,827.0,1629819263045
197.0,821.0,1629819263056
197.0,929.0,1629819263074
197.0,925.0,1629819263083
197.0,921.0,1629819263092
197.0,917.0,1629819263101
