allocated_memory_MB,total_memory_MB,milliseconds
90.0,891.0,1629819250716
90.0,936.0,1629819250731
90.0,934.0,1629819250736
90.0,932.0,1629819250742
90.0,930.0,1629819250746
90.0,928.0,1629819250750
90.0,926.0,1629819250754
90.0,923.0,1629819250758
90.0,921.0,1629819250762
90.0,919.0,1629819250767
90.0,917.0,1629819250771
90.0,915.0,1629819250775
90.0,913.0,1629819250779
90.0,910.0,1629819250783
90.0,908.0,1629819250787
90.0,906.0,1629819250792
90.0,904.0,1629819250796
90.0,902.0,1629819250801
90.0,900.0,1629819250805
90.0,897.0,1629819250810
90.0,895.0,1629819250814
90.0,893.0,1629819250819
90.0,891.0,1629819250823
90.0,889.0,1629819250827
90.0,934.0,1629819250840
90.0,932.0,1629819250843
90.0,930.0,1629819250846
90.0,928.0,1629819250849
90.0,925.0,1629819250852
90.0,923.0,1629819250855
90.0,921.0,1629819250859
90.0,919.0,1629819250862
90.0,917.0,1629819250865
90.0,915.0,1629819250868
90.0,912.0,1629819250871
90.0,910.0,1629819250874
90.0,908.0,1629819250878
90.0,906.0,1629819250881
90.0,904.0,1629819250884
90.0,902.0,1629819250888
90.0,900.0,1629819250892
90.0,897.0,1629819250897
90.0,895.0,1629819250901
90.0,893.0,1629819250904
90.0,891.0,1629819250909
90.0,889.0,1629819250912
90.0,887.0,1629819250915
90.0,884.0,1629819250919
139.0,936.0,1629819250924
139.0,934.0,1629819250930
139.0,931.0,1629819250934
139.0,929.0,1629819250940
139.0,927.0,1629819250944
139.0,925.0,1629819250949
139.0,923.0,1629819250954
139.0,921.0,1629819250958
139.0,919.0,1629819250963
139.0,916.0,1629819250967
139.0,914.0,1629819250972
139.0,912.0,1629819250976
139.0,910.0,1629819250981
139.0,908.0,1629819250985
139.0,906.0,1629819250991
139.0,904.0,1629819250996
139.0,901.0,1629819251001
139.0,899.0,1629819251006
139.0,897.0,1629819251011
139.0,895.0,1629819251016
139.0,893.0,1629819251020
139.0,891.0,1629819251024
139.0,889.0,1629819251029
139.0,886.0,1629819251033
139.0,884.0,1629819251037
139.0,882.0,1629819251041
139.0,880.0,1629819251045
139.0,878.0,1629819251050
139.0,876.0,1629819251054
139.0,874.0,1629819251058
139.0,871.0,1629819251062
139.0,869.0,1629819251067
139.0,867.0,1629819251071
139.0,865.0,1629819251075
139.0,863.0,1629819251079
139.0,861.0,1629819251083
139.0,859.0,1629819251087
139.0,856.0,1629819251091
139.0,854.0,1629819251095
139.0,935.0,1629819251102
139.0,933.0,1629819251107
139.0,931.0,1629819251111
139.0,929.0,1629819251115
139.0,927.0,1629819251119
139.0,924.0,1629819251123
139.0,922.0,1629819251127
139.0,920.0,1629819251132
139.0,918.0,1629819251136
139.0,916.0,1629819251140
139.0,914.0,1629819251144
139.0,912.0,1629819251148
139.0,910.0,1629819251152
139.0,907.0,1629819251156
139.0,905.0,1629819251160
139.0,903.0,1629819251164
139.0,901.0,1629819251168
139.0,899.0,1629819251174
139.0,897.0,1629819251179
139.0,895.0,1629819251183
139.0,892.0,1629819251187
139.0,890.0,1629819251191
139.0,888.0,1629819251195
139.0,886.0,1629819251199
139.0,884.0,1629819251204
139.0,882.0,1629819251208
139.0,880.0,1629819251213
139.0,878.0,1629819251218
139.0,875.0,1629819251223
139.0,873.0,1629819251228
139.0,871.0,1629819251233
139.0,869.0,1629819251237
139.0,867.0,1629819251242
139.0,865.0,1629819251247
139.0,863.0,1629819251251
139.0,861.0,1629819251256
139.0,858.0,1629819251261
139.0,856.0,1629819251265
139.0,854.0,1629819251269
139.0,935.0,1629819251276
139.0,933.0,1629819251281
139.0,931.0,1629819251286
139.0,929.0,1629819251290
139.0,927.0,1629819251295
139.0,924.0,1629819251299
139.0,922.0,1629819251304
139.0,920.0,1629819251309
139.0,918.0,1629819251313
139.0,916.0,1629819251318
139.0,914.0,1629819251322
139.0,912.0,1629819251327
139.0,910.0,1629819251331
139.0,907.0,1629819251336
139.0,905.0,1629819251340
139.0,903.0,1629819251345
139.0,901.0,1629819251349
139.0,899.0,1629819251354
139.0,897.0,1629819251358
139.0,895.0,1629819251361
139.0,893.0,1629819251365
139.0,891.0,1629819251369
139.0,888.0,1629819251372
139.0,886.0,1629819251376
139.0,884.0,1629819251380
139.0,882.0,1629819251383
139.0,880.0,1629819251387
139.0,878.0,1629819251391
139.0,876.0,1629819251396
139.0,874.0,1629819251400
139.0,872.0,1629819251405
139.0,869.0,1629819251409
139.0,867.0,1629819251413
139.0,865.0,1629819251416
139.0,863.0,1629819251419
139.0,861.0,1629819251423
139.0,859.0,1629819251426
139.0,857.0,1629819251429
139.0,855.0,1629819251432
139.0,936.0,1629819251438
139.0,933.0,1629819251441
139.0,931.0,1629819251444
139.0,929.0,1629819251448
139.0,927.0,1629819251451
139.0,925.0,1629819251454
139.0,923.0,1629819251457
139.0,921.0,1629819251460
139.0,919.0,1629819251463
139.0,917.0,1629819251467
139.0,914.0,1629819251470
139.0,912.0,1629819251473
139.0,910.0,1629819251476
139.0,908.0,1629819251480
139.0,906.0,1629819251483
139.0,904.0,1629819251487
139.0,902.0,1629819251491
139.0,900.0,1629819251495
139.0,898.0,1629819251499
139.0,896.0,1629819251503
139.0,893.0,1629819251506
139.0,891.0,1629819251510
139.0,889.0,1629819251513
139.0,887.0,1629819251515
139.0,885.0,1629819251519
139.0,883.0,1629819251522
139.0,881.0,1629819251525
139.0,879.0,1629819251528
139.0,877.0,1629819251531
139.0,875.0,1629819251534
139.0,872.0,1629819251537
139.0,870.0,1629819251541
139.0,868.0,1629819251544
139.0,866.0,1629819251547
139.0,864.0,1629819251550
139.0,862.0,1629819251553
139.0,860.0,1629819251557
139.0,858.0,1629819251560
139.0,856.0,1629819251563
139.0,854.0,1629819251566
139.0,935.0,1629819251571
139.0,932.0,1629819251574
139.0,930.0,1629819251577
139.0,928.0,1629819251580
139.0,926.0,1629819251583
139.0,924.0,1629819251586
139.0,922.0,1629819251589
139.0,920.0,1629819251593
139.0,918.0,1629819251596
139.0,916.0,1629819251599
139.0,914.0,1629819251603
139.0,912.0,1629819251607
139.0,909.0,1629819251610
139.0,907.0,1629819251613
139.0,905.0,1629819251616
139.0,903.0,1629819251619
139.0,901.0,1629819251622
139.0,899.0,1629819251626
139.0,897.0,1629819251629
139.0,895.0,1629819251632
139.0,893.0,1629819251635
139.0,891.0,1629819251638
139.0,889.0,1629819251641
139.0,886.0,1629819251644
139.0,884.0,1629819251648
139.0,882.0,1629819251651
139.0,880.0,1629819251654
139.0,878.0,1629819251658
139.0,876.0,1629819251661
139.0,874.0,1629819251666
139.0,872.0,1629819251669
139.0,870.0,1629819251674
139.0,868.0,1629819251677
139.0,866.0,1629819251681
139.0,864.0,1629819251686
139.0,862.0,1629819251691
139.0,859.0,1629819251695
139.0,857.0,1629819251699
139.0,855.0,1629819251703
139.0,935.0,1629819251710
139.0,933.0,1629819251714
139.0,931.0,1629819251718
139.0,929.0,1629819251723
139.0,927.0,1629819251727
139.0,925.0,1629819251730
139.0,923.0,1629819251733
139.0,921.0,1629819251737
139.0,919.0,1629819251741
139.0,917.0,1629819251744
139.0,914.0,1629819251747
139.0,912.0,1629819251751
139.0,910.0,1629819251755
139.0,908.0,1629819251759
139.0,906.0,1629819251763
139.0,904.0,1629819251766
139.0,902.0,1629819251770
139.0,900.0,1629819251774
139.0,898.0,1629819251778
139.0,896.0,1629819251781
139.0,894.0,1629819251784
139.0,892.0,1629819251788
139.0,890.0,1629819251792
139.0,888.0,1629819251796
139.0,885.0,1629819251799
139.0,883.0,1629819251803
139.0,881.0,1629819251808
139.0,879.0,1629819251813
139.0,877.0,1629819251816
139.0,875.0,1629819251820
139.0,873.0,1629819251824
139.0,871.0,1629819251828
139.0,869.0,1629819251831
139.0,867.0,1629819251833
139.0,865.0,1629819251838
139.0,863.0,1629819251841
139.0,861.0,1629819251845
139.0,859.0,1629819251848
139.0,857.0,1629819251852
139.0,854.0,1629819251856
139.0,935.0,1629819251862
139.0,933.0,1629819251865
139.0,931.0,1629819251870
139.0,929.0,1629819251874
139.0,927.0,1629819251879
139.0,925.0,1629819251882
139.0,923.0,1629819251886
139.0,921.0,1629819251890
139.0,919.0,1629819251893
139.0,917.0,1629819251897
139.0,915.0,1629819251900
139.0,913.0,1629819251905
139.0,911.0,1629819251909
139.0,909.0,1629819251913
139.0,907.0,1629819251916
139.0,904.0,1629819251921
139.0,902.0,1629819251925
139.0,900.0,1629819251929
139.0,898.0,1629819251933
139.0,896.0,1629819251937
139.0,894.0,1629819251941
139.0,892.0,1629819251944
139.0,890.0,1629819251948
139.0,888.0,1629819251951
139.0,886.0,1629819251955
139.0,884.0,1629819251960
139.0,882.0,1629819251964
139.0,880.0,1629819251967
139.0,878.0,1629819251972
139.0,876.0,1629819251976
139.0,874.0,1629819251979
139.0,872.0,1629819251982
139.0,870.0,1629819251986
139.0,868.0,1629819251991
139.0,865.0,1629819251994
139.0,863.0,1629819251998
139.0,861.0,1629819252001
139.0,859.0,1629819252005
139.0,857.0,1629819252010
139.0,855.0,1629819252014
139.0,936.0,1629819252019
139.0,934.0,1629819252024
139.0,932.0,1629819252027
139.0,930.0,1629819252031
139.0,928.0,1629819252034
139.0,926.0,1629819252038
139.0,924.0,1629819252043
139.0,922.0,1629819252046
139.0,920.0,1629819252049
139.0,918.0,1629819252053
139.0,916.0,1629819252057
139.0,914.0,1629819252060
139.0,912.0,1629819252064
139.0,910.0,1629819252068
139.0,908.0,1629819252072
139.0,906.0,1629819252076
139.0,903.0,1629819252079
139.0,901.0,1629819252083
139.0,899.0,1629819252087
139.0,897.0,1629819252091
139.0,895.0,1629819252096
139.0,893.0,1629819252099
139.0,891.0,1629819252104
139.0,889.0,1629819252108
139.0,887.0,1629819252113
139.0,885.0,1629819252116
139.0,883.0,1629819252121
139.0,881.0,1629819252125
139.0,879.0,1629819252129
139.0,877.0,1629819252132
139.0,875.0,1629819252136
139.0,873.0,1629819252141
139.0,871.0,1629819252144
139.0,869.0,1629819252148
139.0,867.0,1629819252152
139.0,865.0,1629819252156
139.0,863.0,1629819252160
139.0,861.0,1629819252163
139.0,859.0,1629819252166
139.0,857.0,1629819252171
139.0,855.0,1629819252174
139.0,936.0,1629819252179
139.0,934.0,1629819252183
139.0,932.0,1629819252187
139.0,929.0,1629819252191
139.0,927.0,1629819252195
139.0,925.0,1629819252197
139.0,923.0,1629819252200
139.0,921.0,1629819252204
139.0,919.0,1629819252209
139.0,917.0,1629819252212
139.0,915.0,1629819252216
139.0,913.0,1629819252220
139.0,911.0,1629819252223
139.0,909.0,1629819252227
139.0,907.0,1629819252230
139.0,905.0,1629819252234
139.0,903.0,1629819252238
139.0,901.0,1629819252242
139.0,899.0,1629819252245
139.0,897.0,1629819252248
139.0,895.0,1629819252251
139.0,893.0,1629819252255
139.0,891.0,1629819252259
139.0,889.0,1629819252263
139.0,887.0,1629819252266
139.0,885.0,1629819252269
139.0,883.0,1629819252274
139.0,881.0,1629819252278
139.0,879.0,1629819252280
139.0,877.0,1629819252283
139.0,875.0,1629819252287
139.0,873.0,1629819252291
139.0,871.0,1629819252295
139.0,869.0,1629819252298
139.0,867.0,1629819252302
139.0,865.0,1629819252306
139.0,863.0,1629819252310
139.0,861.0,1629819252314
139.0,859.0,1629819252317
139.0,857.0,1629819252322
139.0,855.0,1629819252325
139.0,936.0,1629819252331
139.0,934.0,1629819252334
139.0,932.0,1629819252338
139.0,930.0,1629819252341
139.0,928.0,1629819252345
139.0,926.0,1629819252348
139.0,923.0,1629819252351
139.0,921.0,1629819252355
139.0,919.0,1629819252358
139.0,917.0,1629819252362
139.0,915.0,1629819252365
139.0,913.0,1629819252368
139.0,911.0,1629819252372
139.0,909.0,1629819252377
139.0,907.0,1629819252380
139.0,905.0,1629819252383
139.0,903.0,1629819252387
139.0,901.0,1629819252391
139.0,899.0,1629819252395
139.0,897.0,1629819252398
139.0,895.0,1629819252401
139.0,893.0,1629819252406
139.0,891.0,1629819252411
139.0,889.0,1629819252415
139.0,887.0,1629819252419
139.0,885.0,1629819252423
139.0,883.0,1629819252426
139.0,881.0,1629819252430
139.0,879.0,1629819252433
139.0,877.0,1629819252437
139.0,875.0,1629819252442
139.0,873.0,1629819252446
139.0,871.0,1629819252449
139.0,869.0,1629819252454
139.0,867.0,1629819252458
139.0,865.0,1629819252461
139.0,863.0,1629819252464
139.0,861.0,1629819252467
139.0,859.0,1629819252472
139.0,857.0,1629819252476
139.0,855.0,1629819252480
139.0,936.0,1629819252485
139.0,934.0,1629819252489
139.0,932.0,1629819252493
139.0,930.0,1629819252496
139.0,928.0,1629819252499
139.0,926.0,1629819252502
139.0,924.0,1629819252506
139.0,922.0,1629819252510
139.0,920.0,1629819252513
139.0,918.0,1629819252516
139.0,916.0,1629819252520
139.0,914.0,1629819252523
139.0,912.0,1629819252526
139.0,910.0,1629819252529
139.0,908.0,1629819252532
139.0,906.0,1629819252535
139.0,904.0,1629819252538
139.0,902.0,1629819252541
139.0,900.0,1629819252544
139.0,898.0,1629819252547
139.0,896.0,1629819252550
139.0,894.0,1629819252553
139.0,892.0,1629819252556
139.0,890.0,1629819252559
139.0,888.0,1629819252562
139.0,886.0,1629819252565
139.0,884.0,1629819252568
139.0,882.0,1629819252571
139.0,880.0,1629819252574
139.0,878.0,1629819252577
139.0,876.0,1629819252580
139.0,874.0,1629819252583
139.0,872.0,1629819252586
139.0,870.0,1629819252589
139.0,868.0,1629819252592
139.0,866.0,1629819252595
139.0,864.0,1629819252599
139.0,863.0,1629819252603
139.0,861.0,1629819252606
139.0,859.0,1629819252610
139.0,857.0,1629819252613
139.0,855.0,1629819252616
139.0,936.0,1629819252621
139.0,934.0,1629819252624
139.0,932.0,1629819252626
139.0,930.0,1629819252629
139.0,928.0,1629819252632
139.0,926.0,1629819252635
139.0,924.0,1629819252639
139.0,922.0,1629819252642
139.0,920.0,1629819252645
139.0,918.0,1629819252648
139.0,916.0,1629819252650
139.0,914.0,1629819252653
139.0,912.0,1629819252656
139.0,910.0,1629819252659
139.0,908.0,1629819252662
139.0,906.0,1629819252665
139.0,904.0,1629819252667
139.0,902.0,1629819252670
139.0,900.0,1629819252673
139.0,898.0,1629819252676
139.0,896.0,1629819252679
139.0,894.0,1629819252682
139.0,892.0,1629819252685
139.0,890.0,1629819252688
139.0,888.0,1629819252691
139.0,886.0,1629819252695
139.0,884.0,1629819252698
139.0,882.0,1629819252701
139.0,880.0,1629819252705
139.0,878.0,1629819252708
139.0,876.0,1629819252711
139.0,874.0,1629819252714
139.0,872.0,1629819252717
139.0,870.0,1629819252720
139.0,868.0,1629819252723
139.0,866.0,1629819252726
139.0,864.0,1629819252729
139.0,862.0,1629819252732
139.0,860.0,1629819252735
139.0,858.0,1629819252738
139.0,857.0,1629819252742
139.0,855.0,1629819252745
139.0,936.0,1629819252750
139.0,934.0,1629819252752
139.0,932.0,1629819252756
