allocated_memory_MB,total_memory_MB,milliseconds
62.0,938.0,1629818612389
62.0,935.0,1629818612427
62.0,941.0,1629818612458
62.0,939.0,1629818612466
62.0,936.0,1629818612473
62.0,942.0,1629818612497
62.0,939.0,1629818612505
62.0,937.0,1629818612512
62.0,935.0,1629818612519
62.0,933.0,1629818612527
62.0,931.0,1629818612533
62.0,929.0,1629818612538
62.0,926.0,1629818612546
62.0,924.0,1629818612556
62.0,940.0,1629818612569
62.0,938.0,1629818612576
62.0,936.0,1629818612582
62.0,934.0,1629818612588
62.0,932.0,1629818612593
62.0,929.0,1629818612599
62.0,927.0,1629818612605
62.0,925.0,1629818612610
62.0,923.0,1629818612615
62.0,921.0,1629818612623
62.0,918.0,1629818612634
62.0,916.0,1629818612640
62.0,914.0,1629818612646
62.0,942.0,1629818612654
62.0,940.0,1629818612661
62.0,938.0,1629818612667
62.0,935.0,1629818612674
62.0,933.0,1629818612680
62.0,931.0,1629818612684
62.0,929.0,1629818612689
62.0,927.0,1629818612693
62.0,925.0,1629818612698
62.0,922.0,1629818612703
62.0,920.0,1629818612707
62.0,918.0,1629818612711
62.0,916.0,1629818612715
62.0,914.0,1629818612720
62.0,912.0,1629818612725
62.0,909.0,1629818612731
62.0,941.0,1629818612737
62.0,939.0,1629818612741
62.0,937.0,1629818612746
62.0,935.0,1629818612750
62.0,933.0,1629818612754
62.0,930.0,1629818612759
62.0,928.0,1629818612763
62.0,926.0,1629818612766
62.0,924.0,1629818612770
62.0,922.0,1629818612773
62.0,920.0,1629818612777
62.0,918.0,1629818612780
62.0,915.0,1629818612783
62.0,913.0,1629818612786
62.0,911.0,1629818612790
62.0,909.0,1629818612794
62.0,942.0,1629818612799
62.0,940.0,1629818612802
62.0,938.0,1629818612805
62.0,935.0,1629818612809
62.0,933.0,1629818612812
62.0,931.0,1629818612816
62.0,929.0,1629818612819
62.0,927.0,1629818612823
62.0,925.0,1629818612827
62.0,922.0,1629818612832
62.0,920.0,1629818612836
62.0,918.0,1629818612839
62.0,916.0,1629818612843
62.0,914.0,1629818612847
62.0,912.0,1629818612850
62.0,910.0,1629818612854
62.0,907.0,1629818612857
62.0,940.0,1629818612863
62.0,938.0,1629818612866
62.0,936.0,1629818612871
62.0,934.0,1629818612876
62.0,932.0,1629818612879
62.0,930.0,1629818612882
62.0,927.0,1629818612886
62.0,925.0,1629818612889
62.0,923.0,1629818612893
62.0,921.0,1629818612896
62.0,919.0,1629818612900
62.0,917.0,1629818612903
62.0,915.0,1629818612906
62.0,912.0,1629818612909
62.0,910.0,1629818612912
62.0,908.0,1629818612915
62.0,941.0,1629818612919
62.0,939.0,1629818612923
62.0,937.0,1629818612928
62.0,935.0,1629818612933
62.0,932.0,1629818612936
62.0,930.0,1629818612939
62.0,928.0,1629818612942
62.0,926.0,1629818612945
62.0,924.0,1629818612949
62.0,922.0,1629818612952
62.0,920.0,1629818612957
62.0,918.0,1629818612960
62.0,915.0,1629818612964
62.0,913.0,1629818612967
62.0,911.0,1629818612970
62.0,909.0,1629818612974
62.0,942.0,1629818612978
62.0,940.0,1629818612981
62.0,938.0,1629818612984
62.0,935.0,1629818612988
62.0,933.0,1629818612991
62.0,931.0,1629818612994
62.0,929.0,1629818612997
62.0,927.0,1629818613000
62.0,925.0,1629818613004
62.0,923.0,1629818613008
62.0,921.0,1629818613012
62.0,918.0,1629818613015
62.0,916.0,1629818613019
62.0,914.0,1629818613022
62.0,912.0,1629818613026
62.0,910.0,1629818613031
62.0,908.0,1629818613037
62.0,941.0,1629818613043
62.0,939.0,1629818613048
62.0,936.0,1629818613052
62.0,934.0,1629818613056
62.0,932.0,1629818613060
62.0,930.0,1629818613064
62.0,928.0,1629818613068
62.0,926.0,1629818613071
62.0,924.0,1629818613075
62.0,922.0,1629818613079
62.0,920.0,1629818613083
62.0,917.0,1629818613088
62.0,915.0,1629818613092
62.0,913.0,1629818613097
62.0,911.0,1629818613102
62.0,909.0,1629818613107
62.0,942.0,1629818613113
62.0,940.0,1629818613118
