allocated_memory_MB,total_memory_MB,milliseconds
62.0,938.0,1629818830166
62.0,941.0,1629818830260
62.0,938.0,1629818830283
62.0,941.0,1629818830314
62.0,937.0,1629818830333
62.0,934.0,1629818830351
62.0,930.0,1629818830364
62.0,926.0,1629818830377
62.0,940.0,1629818830390
62.0,937.0,1629818830401
62.0,933.0,1629818830419
62.0,929.0,1629818830436
62.0,925.0,1629818830450
62.0,921.0,1629818830464
62.0,918.0,1629818830478
62.0,914.0,1629818830491
62.0,940.0,1629818830509
62.0,936.0,1629818830527
62.0,933.0,1629818830544
62.0,929.0,1629818830561
62.0,925.0,1629818830578
62.0,921.0,1629818830596
62.0,918.0,1629818830612
62.0,914.0,1629818830629
62.0,910.0,1629818830647
62.0,940.0,1629818830665
62.0,937.0,1629818830681
62.0,933.0,1629818830696
62.0,926.0,1629818830727
62.0,922.0,1629818830751
62.0,915.0,1629818830781
62.0,909.0,1629818830809
62.0,939.0,1629818830828
62.0,935.0,1629818830845
62.0,929.0,1629818830865
62.0,923.0,1629818830887
62.0,916.0,1629818830912
62.0,912.0,1629818830934
62.0,908.0,1629818830954
62.0,939.0,1629818830972
62.0,935.0,1629818830984
62.0,931.0,1629818830997
62.0,924.0,1629818831012
62.0,920.0,1629818831031
62.0,913.0,1629818831061
62.0,909.0,1629818831076
62.0,937.0,1629818831091
62.0,933.0,1629818831101
62.0,927.0,1629818831114
62.0,923.0,1629818831127
62.0,916.0,1629818831140
62.0,910.0,1629818831152
62.0,941.0,1629818831163
62.0,937.0,1629818831173
62.0,930.0,1629818831185
62.0,924.0,1629818831197
62.0,917.0,1629818831208
62.0,911.0,1629818831220
62.0,942.0,1629818831231
62.0,935.0,1629818831243
62.0,931.0,1629818831252
62.0,924.0,1629818831266
62.0,920.0,1629818831275
62.0,916.0,1629818831290
62.0,912.0,1629818831305
62.0,940.0,1629818831321
62.0,936.0,1629818831332
62.0,930.0,1629818831346
62.0,923.0,1629818831357
62.0,919.0,1629818831367
62.0,913.0,1629818831382
62.0,941.0,1629818831396
62.0,934.0,1629818831410
62.0,927.0,1629818831425
62.0,920.0,1629818831440
62.0,914.0,1629818831452
62.0,908.0,1629818831466
62.0,936.0,1629818831481
62.0,930.0,1629818831495
62.0,923.0,1629818831508
62.0,916.0,1629818831523
62.0,910.0,1629818831536
62.0,937.0,1629818831557
62.0,930.0,1629818831573
62.0,923.0,1629818831584
62.0,916.0,1629818831601
62.0,909.0,1629818831615
62.0,938.0,1629818831629
62.0,931.0,1629818831643
62.0,925.0,1629818831657
62.0,919.0,1629818831669
62.0,915.0,1629818831679
62.0,908.0,1629818831692
62.0,936.0,1629818831708
62.0,929.0,1629818831724
62.0,922.0,1629818831741
62.0,915.0,1629818831759
75.0,942.0,1629818831778
75.0,935.0,1629818831796
75.0,929.0,1629818831813
75.0,921.0,1629818831831
75.0,915.0,1629818831846
75.0,908.0,1629818831860
75.0,904.0,1629818831869
75.0,900.0,1629818831879
75.0,940.0,1629818831892
75.0,933.0,1629818831905
75.0,930.0,1629818831915
75.0,923.0,1629818831930
75.0,916.0,1629818831946
75.0,912.0,1629818831956
75.0,908.0,1629818831966
75.0,904.0,1629818831976
75.0,900.0,1629818831987
75.0,941.0,1629818831998
75.0,937.0,1629818832010
75.0,933.0,1629818832025
75.0,929.0,1629818832036
75.0,925.0,1629818832048
75.0,917.0,1629818832064
75.0,913.0,1629818832075
75.0,909.0,1629818832086
75.0,905.0,1629818832097
75.0,899.0,1629818832113
75.0,936.0,1629818832128
75.0,932.0,1629818832139
75.0,925.0,1629818832152
75.0,919.0,1629818832165
75.0,915.0,1629818832176
75.0,911.0,1629818832185
75.0,907.0,1629818832194
75.0,903.0,1629818832203
75.0,939.0,1629818832217
75.0,936.0,1629818832226
75.0,928.0,1629818832243
75.0,925.0,1629818832252
75.0,921.0,1629818832261
75.0,914.0,1629818832273
75.0,910.0,1629818832282
75.0,906.0,1629818832292
75.0,902.0,1629818832303
75.0,898.0,1629818832315
75.0,938.0,1629818832327
75.0,930.0,1629818832347
75.0,926.0,1629818832356
75.0,920.0,1629818832367
75.0,912.0,1629818832382
75.0,909.0,1629818832391
75.0,905.0,1629818832399
75.0,901.0,1629818832408
90.0,941.0,1629818832419
90.0,937.0,1629818832432
90.0,929.0,1629818832452
90.0,921.0,1629818832470
90.0,915.0,1629818832481
90.0,911.0,1629818832491
90.0,907.0,1629818832500
90.0,900.0,1629818832512
90.0,896.0,1629818832523
90.0,892.0,1629818832538
90.0,942.0,1629818832548
90.0,938.0,1629818832559
90.0,930.0,1629818832574
90.0,923.0,1629818832588
90.0,919.0,1629818832597
90.0,915.0,1629818832607
90.0,911.0,1629818832615
90.0,904.0,1629818832628
90.0,900.0,1629818832639
90.0,896.0,1629818832649
90.0,892.0,1629818832660
90.0,938.0,1629818832676
90.0,930.0,1629818832690
90.0,926.0,1629818832703
90.0,922.0,1629818832713
90.0,918.0,1629818832724
90.0,914.0,1629818832736
90.0,908.0,1629818832748
90.0,904.0,1629818832760
90.0,900.0,1629818832770
90.0,893.0,1629818832782
90.0,889.0,1629818832792
90.0,935.0,1629818832805
90.0,929.0,1629818832817
90.0,925.0,1629818832827
90.0,918.0,1629818832841
90.0,911.0,1629818832853
90.0,903.0,1629818832870
90.0,897.0,1629818832882
90.0,890.0,1629818832895
90.0,939.0,1629818832905
90.0,935.0,1629818832916
90.0,931.0,1629818832930
90.0,927.0,1629818832941
90.0,923.0,1629818832951
90.0,917.0,1629818832963
90.0,913.0,1629818832972
90.0,907.0,1629818832983
90.0,900.0,1629818832995
90.0,897.0,1629818833004
90.0,890.0,1629818833016
90.0,936.0,1629818833030
90.0,929.0,1629818833045
90.0,923.0,1629818833058
90.0,916.0,1629818833071
90.0,912.0,1629818833080
90.0,908.0,1629818833089
90.0,904.0,1629818833099
90.0,900.0,1629818833110
90.0,893.0,1629818833125
90.0,942.0,1629818833139
90.0,938.0,1629818833149
90.0,934.0,1629818833159
90.0,930.0,1629818833168
90.0,924.0,1629818833178
90.0,916.0,1629818833193
90.0,910.0,1629818833204
90.0,906.0,1629818833213
90.0,902.0,1629818833223
90.0,898.0,1629818833233
90.0,895.0,1629818833243
90.0,941.0,1629818833259
90.0,937.0,1629818833269
90.0,931.0,1629818833280
90.0,924.0,1629818833292
90.0,917.0,1629818833305
90.0,913.0,1629818833314
90.0,909.0,1629818833326
90.0,902.0,1629818833342
90.0,895.0,1629818833356
90.0,891.0,1629818833367
90.0,940.0,1629818833377
90.0,933.0,1629818833397
90.0,929.0,1629818833406
90.0,925.0,1629818833414
