allocated_memory_MB,total_memory_MB,milliseconds
62.0,938.0,1629818754206
62.0,935.0,1629818754245
62.0,941.0,1629818754276
62.0,939.0,1629818754290
62.0,936.0,1629818754298
62.0,942.0,1629818754313
62.0,939.0,1629818754320
62.0,937.0,1629818754326
62.0,935.0,1629818754332
62.0,933.0,1629818754338
62.0,931.0,1629818754343
62.0,928.0,1629818754349
62.0,926.0,1629818754355
62.0,924.0,1629818754361
62.0,940.0,1629818754369
62.0,938.0,1629818754378
62.0,936.0,1629818754384
62.0,934.0,1629818754389
62.0,931.0,1629818754395
62.0,929.0,1629818754400
62.0,927.0,1629818754406
62.0,925.0,1629818754411
62.0,923.0,1629818754415
62.0,921.0,1629818754421
62.0,918.0,1629818754427
62.0,916.0,1629818754432
62.0,914.0,1629818754438
62.0,912.0,1629818754443
62.0,940.0,1629818754448
62.0,938.0,1629818754452
62.0,936.0,1629818754455
62.0,933.0,1629818754459
62.0,931.0,1629818754463
62.0,929.0,1629818754467
62.0,927.0,1629818754472
62.0,925.0,1629818754477
62.0,923.0,1629818754482
62.0,920.0,1629818754486
62.0,918.0,1629818754490
62.0,916.0,1629818754495
62.0,914.0,1629818754498
62.0,912.0,1629818754501
62.0,910.0,1629818754505
62.0,941.0,1629818754514
62.0,939.0,1629818754518
62.0,937.0,1629818754523
62.0,935.0,1629818754527
62.0,933.0,1629818754530
62.0,931.0,1629818754533
62.0,929.0,1629818754536
62.0,926.0,1629818754539
62.0,924.0,1629818754542
62.0,922.0,1629818754545
62.0,920.0,1629818754548
62.0,918.0,1629818754552
62.0,916.0,1629818754555
62.0,914.0,1629818754559
62.0,911.0,1629818754562
62.0,909.0,1629818754565
62.0,942.0,1629818754569
62.0,940.0,1629818754573
62.0,938.0,1629818754577
62.0,936.0,1629818754581
62.0,933.0,1629818754584
62.0,931.0,1629818754587
62.0,929.0,1629818754591
62.0,927.0,1629818754595
62.0,925.0,1629818754598
62.0,923.0,1629818754601
62.0,920.0,1629818754605
62.0,918.0,1629818754608
62.0,916.0,1629818754611
62.0,914.0,1629818754615
62.0,912.0,1629818754618
62.0,910.0,1629818754621
62.0,908.0,1629818754624
62.0,940.0,1629818754629
62.0,938.0,1629818754632
62.0,936.0,1629818754636
62.0,934.0,1629818754639
62.0,932.0,1629818754643
62.0,930.0,1629818754646
62.0,928.0,1629818754649
62.0,925.0,1629818754653
62.0,923.0,1629818754656
62.0,921.0,1629818754659
62.0,919.0,1629818754662
62.0,917.0,1629818754665
62.0,915.0,1629818754669
62.0,913.0,1629818754672
62.0,910.0,1629818754676
62.0,908.0,1629818754679
62.0,941.0,1629818754684
62.0,939.0,1629818754687
62.0,937.0,1629818754691
62.0,935.0,1629818754695
62.0,933.0,1629818754698
62.0,931.0,1629818754701
62.0,928.0,1629818754704
62.0,926.0,1629818754707
62.0,924.0,1629818754710
62.0,922.0,1629818754713
62.0,920.0,1629818754716
62.0,918.0,1629818754719
62.0,916.0,1629818754723
62.0,913.0,1629818754725
62.0,911.0,1629818754728
62.0,909.0,1629818754731
62.0,907.0,1629818754734
62.0,940.0,1629818754740
62.0,938.0,1629818754744
62.0,936.0,1629818754747
62.0,934.0,1629818754750
62.0,931.0,1629818754753
62.0,929.0,1629818754757
62.0,927.0,1629818754760
62.0,925.0,1629818754764
62.0,923.0,1629818754768
62.0,921.0,1629818754772
62.0,919.0,1629818754777
62.0,917.0,1629818754781
62.0,914.0,1629818754785
62.0,912.0,1629818754789
62.0,910.0,1629818754793
62.0,908.0,1629818754798
62.0,941.0,1629818754803
62.0,939.0,1629818754808
62.0,937.0,1629818754812
62.0,935.0,1629818754817
62.0,932.0,1629818754821
62.0,930.0,1629818754825
62.0,928.0,1629818754829
62.0,926.0,1629818754833
62.0,924.0,1629818754837
62.0,922.0,1629818754842
62.0,920.0,1629818754847
62.0,918.0,1629818754851
62.0,915.0,1629818754855
62.0,913.0,1629818754860
62.0,911.0,1629818754865
62.0,909.0,1629818754868
62.0,942.0,1629818754873
62.0,940.0,1629818754878
62.0,938.0,1629818754883
62.0,936.0,1629818754886
62.0,934.0,1629818754890
62.0,931.0,1629818754895
62.0,929.0,1629818754901
62.0,927.0,1629818754904
62.0,925.0,1629818754910
62.0,923.0,1629818754915
62.0,921.0,1629818754918
62.0,919.0,1629818754923
62.0,917.0,1629818754927
62.0,914.0,1629818754932
62.0,912.0,1629818754936
62.0,910.0,1629818754939
62.0,908.0,1629818754944
62.0,941.0,1629818754950
62.0,939.0,1629818754956
62.0,937.0,1629818754961
62.0,935.0,1629818754966
62.0,933.0,1629818754969
62.0,930.0,1629818754974
62.0,928.0,1629818754978
62.0,926.0,1629818754982
62.0,924.0,1629818754986
62.0,922.0,1629818754989
62.0,920.0,1629818754993
62.0,918.0,1629818754997
62.0,916.0,1629818755000
62.0,914.0,1629818755004
62.0,912.0,1629818755007
62.0,909.0,1629818755010
62.0,907.0,1629818755014
62.0,940.0,1629818755018
62.0,938.0,1629818755022
62.0,936.0,1629818755026
62.0,934.0,1629818755029
62.0,932.0,1629818755033
62.0,930.0,1629818755036
62.0,928.0,1629818755039
62.0,925.0,1629818755042
62.0,923.0,1629818755045
62.0,921.0,1629818755048
62.0,919.0,1629818755052
62.0,917.0,1629818755055
62.0,915.0,1629818755059
62.0,913.0,1629818755064
62.0,911.0,1629818755069
62.0,909.0,1629818755074
62.0,942.0,1629818755083
62.0,939.0,1629818755087
62.0,937.0,1629818755093
62.0,935.0,1629818755098
62.0,933.0,1629818755103
62.0,931.0,1629818755106
62.0,929.0,1629818755110
62.0,927.0,1629818755113
62.0,925.0,1629818755116
62.0,923.0,1629818755120
62.0,921.0,1629818755123
62.0,919.0,1629818755126
62.0,916.0,1629818755129
62.0,914.0,1629818755132
62.0,912.0,1629818755136
62.0,910.0,1629818755139
62.0,908.0,1629818755142
75.0,941.0,1629818755147
75.0,939.0,1629818755151
75.0,937.0,1629818755155
75.0,935.0,1629818755160
75.0,933.0,1629818755165
75.0,931.0,1629818755169
75.0,928.0,1629818755173
75.0,926.0,1629818755178
75.0,924.0,1629818755181
75.0,922.0,1629818755184
75.0,920.0,1629818755188
75.0,918.0,1629818755191
75.0,916.0,1629818755195
75.0,914.0,1629818755198
75.0,912.0,1629818755202
75.0,910.0,1629818755205
75.0,908.0,1629818755208
75.0,905.0,1629818755211
75.0,903.0,1629818755214
75.0,901.0,1629818755218
75.0,899.0,1629818755221
75.0,941.0,1629818755225
75.0,939.0,1629818755228
75.0,937.0,1629818755232
75.0,935.0,1629818755235
75.0,933.0,1629818755238
75.0,931.0,1629818755242
75.0,929.0,1629818755245
75.0,927.0,1629818755248
75.0,924.0,1629818755252
75.0,922.0,1629818755255
75.0,920.0,1629818755258
75.0,918.0,1629818755261
75.0,916.0,1629818755264
75.0,914.0,1629818755267
75.0,912.0,1629818755271
75.0,910.0,1629818755275
75.0,908.0,1629818755279
75.0,906.0,1629818755283
75.0,904.0,1629818755287
75.0,902.0,1629818755291
75.0,900.0,1629818755295
75.0,941.0,1629818755299
75.0,939.0,1629818755303
75.0,937.0,1629818755306
75.0,935.0,1629818755310
75.0,933.0,1629818755313
75.0,931.0,1629818755317
75.0,929.0,1629818755321
75.0,927.0,1629818755325
75.0,925.0,1629818755328
75.0,923.0,1629818755331
75.0,921.0,1629818755335
75.0,919.0,1629818755339
75.0,917.0,1629818755343
75.0,914.0,1629818755348
75.0,912.0,1629818755353
75.0,910.0,1629818755357
75.0,908.0,1629818755361
75.0,906.0,1629818755366
75.0,904.0,1629818755369
75.0,902.0,1629818755373
75.0,900.0,1629818755377
75.0,942.0,1629818755383
75.0,940.0,1629818755387
75.0,938.0,1629818755391
75.0,936.0,1629818755394
75.0,934.0,1629818755398
75.0,932.0,1629818755401
75.0,930.0,1629818755405
75.0,927.0,1629818755409
75.0,925.0,1629818755413
75.0,923.0,1629818755417
75.0,921.0,1629818755420
75.0,919.0,1629818755424
75.0,917.0,1629818755428
75.0,915.0,1629818755432
75.0,913.0,1629818755435
75.0,911.0,1629818755439
75.0,909.0,1629818755443
75.0,907.0,1629818755447
75.0,905.0,1629818755450
75.0,903.0,1629818755453
75.0,901.0,1629818755457
75.0,899.0,1629818755461
90.0,941.0,1629818755467
90.0,938.0,1629818755472
90.0,936.0,1629818755477
90.0,934.0,1629818755482
90.0,932.0,1629818755488
90.0,930.0,1629818755493
90.0,928.0,1629818755500
90.0,926.0,1629818755506
90.0,924.0,1629818755511
90.0,922.0,1629818755516
90.0,920.0,1629818755521
90.0,918.0,1629818755526
90.0,916.0,1629818755531
90.0,914.0,1629818755534
90.0,912.0,1629818755538
90.0,910.0,1629818755542
90.0,908.0,1629818755546
90.0,906.0,1629818755550
90.0,904.0,1629818755553
90.0,901.0,1629818755558
90.0,899.0,1629818755561
90.0,897.0,1629818755565
90.0,895.0,1629818755570
90.0,893.0,1629818755575
90.0,891.0,1629818755579
90.0,889.0,1629818755583
90.0,940.0,1629818755588
