allocated_memory_MB,total_memory_MB,milliseconds
62.0,938.0,1629819039621
62.0,935.0,1629819039666
62.0,941.0,1629819039711
62.0,939.0,1629819039728
62.0,936.0,1629819039741
62.0,942.0,1629819039757
62.0,939.0,1629819039766
62.0,937.0,1629819039774
62.0,935.0,1629819039782
62.0,933.0,1629819039789
62.0,931.0,1629819039795
62.0,928.0,1629819039801
62.0,926.0,1629819039808
62.0,924.0,1629819039817
62.0,940.0,1629819039828
62.0,938.0,1629819039838
62.0,936.0,1629819039848
62.0,934.0,1629819039857
62.0,931.0,1629819039867
62.0,929.0,1629819039876
62.0,927.0,1629819039884
62.0,925.0,1629819039890
62.0,923.0,1629819039897
62.0,921.0,1629819039903
62.0,918.0,1629819039910
62.0,916.0,1629819039918
62.0,914.0,1629819039925
62.0,942.0,1629819039933
62.0,940.0,1629819039938
62.0,938.0,1629819039943
62.0,935.0,1629819039948
62.0,933.0,1629819039952
62.0,931.0,1629819039957
62.0,929.0,1629819039964
62.0,927.0,1629819039971
62.0,925.0,1629819039975
62.0,922.0,1629819039982
62.0,920.0,1629819039988
62.0,918.0,1629819039992
62.0,916.0,1629819039997
62.0,914.0,1629819040001
62.0,912.0,1629819040005
62.0,910.0,1629819040010
62.0,941.0,1629819040017
62.0,939.0,1629819040021
62.0,937.0,1629819040024
62.0,935.0,1629819040028
62.0,933.0,1629819040032
62.0,931.0,1629819040037
62.0,928.0,1629819040041
62.0,926.0,1629819040045
62.0,924.0,1629819040049
62.0,922.0,1629819040053
62.0,920.0,1629819040057
62.0,918.0,1629819040061
62.0,915.0,1629819040066
62.0,913.0,1629819040071
62.0,911.0,1629819040074
62.0,909.0,1629819040080
62.0,942.0,1629819040085
62.0,940.0,1629819040089
62.0,938.0,1629819040093
62.0,935.0,1629819040098
62.0,933.0,1629819040102
62.0,931.0,1629819040105
62.0,929.0,1629819040109
62.0,927.0,1629819040113
62.0,925.0,1629819040118
62.0,923.0,1629819040122
62.0,920.0,1629819040126
62.0,918.0,1629819040130
62.0,916.0,1629819040135
62.0,914.0,1629819040139
62.0,912.0,1629819040143
62.0,910.0,1629819040148
62.0,908.0,1629819040152
62.0,940.0,1629819040156
62.0,938.0,1629819040160
62.0,936.0,1629819040166
62.0,934.0,1629819040171
62.0,932.0,1629819040178
62.0,930.0,1629819040183
62.0,927.0,1629819040188
62.0,925.0,1629819040193
62.0,923.0,1629819040197
62.0,921.0,1629819040202
62.0,919.0,1629819040206
62.0,917.0,1629819040210
62.0,915.0,1629819040215
62.0,913.0,1629819040219
62.0,910.0,1629819040223
62.0,908.0,1629819040228
62.0,941.0,1629819040234
62.0,939.0,1629819040238
62.0,937.0,1629819040243
62.0,935.0,1629819040248
62.0,933.0,1629819040253
62.0,930.0,1629819040257
62.0,928.0,1629819040263
62.0,926.0,1629819040267
62.0,924.0,1629819040271
62.0,922.0,1629819040276
62.0,920.0,1629819040281
62.0,918.0,1629819040287
62.0,915.0,1629819040290
62.0,913.0,1629819040295
62.0,911.0,1629819040301
62.0,909.0,1629819040305
62.0,942.0,1629819040312
62.0,940.0,1629819040318
62.0,938.0,1629819040324
62.0,936.0,1629819040328
62.0,933.0,1629819040334
