allocated_memory_MB,total_memory_MB,milliseconds
62.0,938.0,1629818923688
62.0,940.0,1629818923813
62.0,935.0,1629818923855
62.0,938.0,1629818923918
62.0,932.0,1629818923956
62.0,927.0,1629818923977
62.0,940.0,1629818924003
62.0,934.0,1629818924022
62.0,929.0,1629818924050
62.0,924.0,1629818924071
62.0,918.0,1629818924094
62.0,913.0,1629818924123
62.0,938.0,1629818924142
62.0,933.0,1629818924158
62.0,928.0,1629818924174
62.0,922.0,1629818924189
62.0,917.0,1629818924204
62.0,912.0,1629818924220
62.0,941.0,1629818924241
62.0,936.0,1629818924260
62.0,931.0,1629818924281
62.0,925.0,1629818924304
62.0,920.0,1629818924326
62.0,914.0,1629818924347
62.0,909.0,1629818924367
62.0,939.0,1629818924394
62.0,933.0,1629818924421
62.0,928.0,1629818924446
62.0,923.0,1629818924473
62.0,917.0,1629818924496
62.0,912.0,1629818924517
62.0,942.0,1629818924540
62.0,936.0,1629818924561
62.0,931.0,1629818924577
62.0,926.0,1629818924590
62.0,920.0,1629818924604
62.0,915.0,1629818924619
62.0,910.0,1629818924632
62.0,939.0,1629818924650
62.0,934.0,1629818924672
62.0,929.0,1629818924692
62.0,923.0,1629818924713
62.0,918.0,1629818924732
62.0,913.0,1629818924752
62.0,907.0,1629818924771
62.0,937.0,1629818924790
62.0,932.0,1629818924801
62.0,926.0,1629818924814
62.0,921.0,1629818924829
62.0,916.0,1629818924844
62.0,910.0,1629818924859
62.0,940.0,1629818924874
62.0,935.0,1629818924888
62.0,929.0,1629818924903
62.0,924.0,1629818924916
62.0,919.0,1629818924930
62.0,913.0,1629818924943
62.0,908.0,1629818924956
62.0,938.0,1629818924971
62.0,932.0,1629818924984
62.0,927.0,1629818924997
62.0,922.0,1629818925010
62.0,916.0,1629818925025
62.0,911.0,1629818925038
62.0,941.0,1629818925052
62.0,936.0,1629818925064
62.0,930.0,1629818925077
62.0,925.0,1629818925090
62.0,920.0,1629818925102
62.0,914.0,1629818925115
62.0,909.0,1629818925129
62.0,939.0,1629818925144
62.0,933.0,1629818925157
62.0,928.0,1629818925170
62.0,923.0,1629818925183
62.0,917.0,1629818925196
62.0,912.0,1629818925209
62.0,942.0,1629818925224
62.0,936.0,1629818925238
62.0,931.0,1629818925250
62.0,926.0,1629818925263
62.0,921.0,1629818925276
62.0,915.0,1629818925289
62.0,910.0,1629818925302
62.0,939.0,1629818925316
62.0,934.0,1629818925329
62.0,929.0,1629818925345
62.0,924.0,1629818925358
62.0,918.0,1629818925370
62.0,913.0,1629818925383
62.0,908.0,1629818925396
62.0,937.0,1629818925410
62.0,932.0,1629818925424
62.0,927.0,1629818925437
62.0,922.0,1629818925449
62.0,916.0,1629818925462
62.0,911.0,1629818925474
62.0,941.0,1629818925489
62.0,935.0,1629818925502
62.0,930.0,1629818925516
62.0,925.0,1629818925529
62.0,919.0,1629818925542
62.0,914.0,1629818925563
62.0,909.0,1629818925576
62.0,939.0,1629818925590
62.0,933.0,1629818925604
62.0,928.0,1629818925619
62.0,923.0,1629818925633
62.0,918.0,1629818925645
62.0,912.0,1629818925659
62.0,907.0,1629818925672
75.0,937.0,1629818925691
75.0,932.0,1629818925706
75.0,926.0,1629818925721
75.0,921.0,1629818925733
75.0,916.0,1629818925745
75.0,911.0,1629818925757
75.0,906.0,1629818925769
75.0,900.0,1629818925781
75.0,939.0,1629818925794
75.0,934.0,1629818925807
75.0,929.0,1629818925820
75.0,923.0,1629818925833
75.0,918.0,1629818925844
75.0,913.0,1629818925856
75.0,908.0,1629818925871
75.0,902.0,1629818925886
75.0,941.0,1629818925900
75.0,936.0,1629818925912
75.0,931.0,1629818925926
75.0,926.0,1629818925939
75.0,920.0,1629818925951
75.0,915.0,1629818925963
75.0,910.0,1629818925975
75.0,905.0,1629818925986
75.0,899.0,1629818925998
75.0,938.0,1629818926011
75.0,933.0,1629818926024
75.0,928.0,1629818926036
75.0,922.0,1629818926048
75.0,917.0,1629818926061
75.0,912.0,1629818926073
75.0,907.0,1629818926084
75.0,902.0,1629818926096
75.0,940.0,1629818926108
75.0,935.0,1629818926121
75.0,930.0,1629818926133
75.0,925.0,1629818926145
75.0,919.0,1629818926157
75.0,914.0,1629818926168
75.0,909.0,1629818926179
75.0,904.0,1629818926191
75.0,899.0,1629818926203
75.0,937.0,1629818926218
75.0,932.0,1629818926230
75.0,927.0,1629818926242
75.0,922.0,1629818926254
75.0,917.0,1629818926266
75.0,911.0,1629818926277
75.0,906.0,1629818926289
75.0,901.0,1629818926300
75.0,940.0,1629818926314
75.0,935.0,1629818926327
75.0,929.0,1629818926342
75.0,924.0,1629818926356
75.0,919.0,1629818926368
75.0,914.0,1629818926379
75.0,909.0,1629818926390
75.0,903.0,1629818926401
75.0,942.0,1629818926414
75.0,937.0,1629818926427
75.0,932.0,1629818926441
75.0,926.0,1629818926452
75.0,921.0,1629818926464
75.0,916.0,1629818926476
75.0,911.0,1629818926487
75.0,906.0,1629818926499
75.0,900.0,1629818926511
75.0,939.0,1629818926525
75.0,934.0,1629818926537
75.0,929.0,1629818926549
75.0,924.0,1629818926560
75.0,918.0,1629818926572
75.0,913.0,1629818926584
75.0,908.0,1629818926595
75.0,903.0,1629818926607
75.0,942.0,1629818926623
75.0,936.0,1629818926638
75.0,931.0,1629818926649
75.0,926.0,1629818926661
75.0,921.0,1629818926672
75.0,916.0,1629818926684
75.0,910.0,1629818926699
75.0,905.0,1629818926710
75.0,900.0,1629818926723
75.0,939.0,1629818926736
75.0,934.0,1629818926748
75.0,929.0,1629818926759
75.0,923.0,1629818926771
75.0,918.0,1629818926782
75.0,913.0,1629818926793
75.0,908.0,1629818926805
75.0,903.0,1629818926817
75.0,941.0,1629818926831
75.0,936.0,1629818926843
75.0,931.0,1629818926855
75.0,926.0,1629818926866
