allocated_memory_MB,total_memory_MB,milliseconds
62.0,938.0,1629819129368
62.0,935.0,1629819129409
62.0,941.0,1629819129446
62.0,939.0,1629819129459
62.0,936.0,1629819129470
62.0,941.0,1629819129486
62.0,939.0,1629819129493
62.0,937.0,1629819129501
62.0,935.0,1629819129507
62.0,932.0,1629819129512
62.0,930.0,1629819129518
62.0,928.0,1629819129524
62.0,926.0,1629819129530
62.0,924.0,1629819129538
62.0,940.0,1629819129546
62.0,937.0,1629819129554
62.0,935.0,1629819129562
62.0,933.0,1629819129567
62.0,931.0,1629819129572
62.0,929.0,1629819129578
62.0,927.0,1629819129584
62.0,924.0,1629819129589
62.0,922.0,1629819129595
62.0,920.0,1629819129602
62.0,918.0,1629819129609
62.0,916.0,1629819129615
62.0,914.0,1629819129621
62.0,941.0,1629819129628
62.0,939.0,1629819129632
62.0,937.0,1629819129638
62.0,935.0,1629819129643
62.0,933.0,1629819129648
62.0,931.0,1629819129653
62.0,928.0,1629819129658
62.0,926.0,1629819129663
62.0,924.0,1629819129668
62.0,922.0,1629819129672
62.0,920.0,1629819129676
62.0,918.0,1629819129680
62.0,915.0,1629819129684
62.0,913.0,1629819129688
62.0,911.0,1629819129692
62.0,909.0,1629819129696
62.0,941.0,1629819129701
62.0,939.0,1629819129705
62.0,937.0,1629819129708
62.0,935.0,1629819129711
62.0,933.0,1629819129715
62.0,931.0,1629819129718
62.0,928.0,1629819129721
62.0,926.0,1629819129724
62.0,924.0,1629819129728
62.0,922.0,1629819129731
62.0,920.0,1629819129734
62.0,918.0,1629819129737
62.0,916.0,1629819129741
62.0,913.0,1629819129745
62.0,911.0,1629819129749
62.0,909.0,1629819129753
62.0,942.0,1629819129758
62.0,940.0,1629819129762
62.0,938.0,1629819129766
62.0,936.0,1629819129771
62.0,933.0,1629819129774
62.0,931.0,1629819129778
62.0,929.0,1629819129782
62.0,927.0,1629819129785
62.0,925.0,1629819129788
62.0,923.0,1629819129791
62.0,920.0,1629819129795
62.0,918.0,1629819129798
62.0,916.0,1629819129801
62.0,914.0,1629819129805
62.0,912.0,1629819129808
62.0,910.0,1629819129811
62.0,908.0,1629819129815
62.0,940.0,1629819129819
