allocated_memory_MB,total_memory_MB,milliseconds
128.0,2036.0,1629822196894
128.0,2034.0,1629822197005
128.0,2039.0,1629822197153
128.0,2037.0,1629822197221
128.0,2035.0,1629822197243
128.0,2039.0,1629822197272
128.0,2038.0,1629822197289
128.0,2035.0,1629822197297
128.0,2033.0,1629822197310
128.0,2031.0,1629822197548
128.0,2029.0,1629822197557
128.0,2027.0,1629822197649
128.0,2025.0,1629822197718
128.0,2022.0,1629822197736
128.0,2020.0,1629822197758
128.0,2039.0,1629822197775
128.0,2037.0,1629822197794
128.0,2035.0,1629822197804
128.0,2032.0,1629822197813
128.0,2030.0,1629822197820
128.0,2028.0,1629822197836
128.0,2026.0,1629822197843
128.0,2024.0,1629822197853
128.0,2022.0,1629822197859
128.0,2019.0,1629822197864
128.0,2017.0,1629822197872
128.0,2015.0,1629822197881
128.0,2013.0,1629822197894
128.0,2011.0,1629822197909
128.0,2009.0,1629822197919
128.0,2006.0,1629822197938
128.0,2004.0,1629822197947
128.0,2002.0,1629822197966
128.0,2000.0,1629822198123
128.0,1998.0,1629822198164
128.0,1996.0,1629822198212
128.0,1994.0,1629822198229
128.0,1991.0,1629822198263
128.0,1989.0,1629822198271
128.0,1987.0,1629822198446
128.0,1985.0,1629822198502
128.0,1983.0,1629822198515
128.0,1981.0,1629822198546
128.0,1978.0,1629822198677
128.0,1976.0,1629822198683
128.0,1974.0,1629822198716
128.0,1972.0,1629822198756
128.0,1970.0,1629822198761
128.0,1968.0,1629822198797
128.0,1966.0,1629822198804
128.0,2038.0,1629822198889
128.0,2036.0,1629822198932
128.0,2034.0,1629822198938
128.0,2032.0,1629822198945
128.0,2030.0,1629822198952
128.0,2027.0,1629822198959
128.0,2025.0,1629822198964
128.0,2023.0,1629822198990
128.0,2021.0,1629822199003
128.0,2019.0,1629822199025
128.0,2017.0,1629822199033
128.0,2015.0,1629822199039
128.0,2012.0,1629822199046
128.0,2010.0,1629822199054
128.0,2008.0,1629822199060
128.0,2006.0,1629822199072
128.0,2004.0,1629822199077
128.0,2002.0,1629822199104
128.0,1999.0,1629822199117
128.0,1997.0,1629822199216
128.0,1995.0,1629822199259
128.0,1993.0,1629822199263
128.0,1991.0,1629822199279
128.0,1989.0,1629822199285
128.0,1987.0,1629822199403
128.0,1984.0,1629822199534
128.0,1982.0,1629822199538
128.0,1980.0,1629822199568
128.0,1978.0,1629822199574
128.0,1976.0,1629822199579
128.0,1974.0,1629822199663
128.0,1972.0,1629822199700
128.0,1969.0,1629822199704
128.0,1967.0,1629822199802
128.0,2040.0,1629822199844
128.0,2038.0,1629822199848
128.0,2036.0,1629822199946
128.0,2034.0,1629822199987
128.0,2032.0,1629822199992
128.0,2029.0,1629822200089
128.0,2027.0,1629822200133
128.0,2025.0,1629822200141
128.0,2023.0,1629822200146
128.0,2021.0,1629822200152
128.0,2019.0,1629822200158
128.0,2017.0,1629822200163
128.0,2014.0,1629822200169
128.0,2012.0,1629822200176
128.0,2010.0,1629822200182
128.0,2008.0,1629822200188
128.0,2006.0,1629822200195
128.0,2004.0,1629822200205
128.0,2002.0,1629822200210
128.0,1999.0,1629822200218
128.0,1997.0,1629822200223
128.0,1995.0,1629822200227
128.0,1993.0,1629822200231
128.0,1991.0,1629822200236
128.0,1989.0,1629822200240
128.0,1987.0,1629822200244
128.0,1984.0,1629822200250
128.0,1982.0,1629822200254
128.0,1980.0,1629822200259
128.0,1978.0,1629822200267
128.0,1976.0,1629822200273
128.0,1973.0,1629822200356
128.0,1971.0,1629822200400
128.0,1969.0,1629822200404
128.0,1967.0,1629822200503
128.0,2040.0,1629822200557
128.0,2038.0,1629822200563
128.0,2036.0,1629822200567
128.0,2034.0,1629822200654
128.0,2031.0,1629822200703
128.0,2029.0,1629822200710
128.0,2027.0,1629822200801
128.0,2025.0,1629822200846
128.0,2022.0,1629822200854
128.0,2020.0,1629822200943
128.0,2018.0,1629822200989
128.0,2016.0,1629822200994
128.0,2014.0,1629822200999
128.0,2012.0,1629822201090
128.0,2010.0,1629822201131
128.0,2008.0,1629822201136
128.0,2005.0,1629822201233
128.0,2003.0,1629822201277
128.0,2001.0,1629822201283
128.0,1999.0,1629822201291
128.0,1997.0,1629822201297
128.0,1995.0,1629822201302
128.0,1993.0,1629822201306
128.0,1991.0,1629822201313
128.0,1988.0,1629822201319
128.0,1986.0,1629822201325
128.0,1984.0,1629822201331
128.0,1982.0,1629822201337
128.0,1980.0,1629822201342
128.0,1978.0,1629822201347
128.0,1976.0,1629822201356
128.0,1974.0,1629822201362
128.0,1972.0,1629822201370
128.0,1969.0,1629822201374
128.0,1967.0,1629822201378
128.0,2040.0,1629822201460
128.0,2038.0,1629822201499
128.0,2036.0,1629822201503
128.0,2034.0,1629822201594
128.0,2032.0,1629822201679
128.0,2030.0,1629822201689
128.0,2028.0,1629822201697
128.0,2025.0,1629822201702
128.0,2023.0,1629822201771
128.0,2021.0,1629822201812
128.0,2019.0,1629822201817
128.0,2017.0,1629822201902
128.0,2015.0,1629822201947
128.0,2013.0,1629822201953
128.0,2011.0,1629822202036
128.0,2008.0,1629822202078
128.0,2006.0,1629822202082
128.0,2004.0,1629822202086
128.0,2002.0,1629822202179
128.0,2000.0,1629822202210
128.0,1998.0,1629822202214
128.0,1996.0,1629822202305
128.0,1994.0,1629822202362
128.0,1992.0,1629822202374
128.0,1990.0,1629822202419
128.0,1987.0,1629822202424
128.0,1985.0,1629822202445
128.0,1983.0,1629822202449
128.0,1981.0,1629822202454
128.0,1979.0,1629822202470
128.0,1977.0,1629822202476
128.0,1975.0,1629822202488
128.0,1973.0,1629822202494
128.0,1971.0,1629822202525
128.0,1969.0,1629822202531
128.0,1966.0,1629822202624
128.0,2039.0,1629822202656
128.0,2037.0,1629822202662
128.0,2035.0,1629822202778
128.0,2033.0,1629822202846
128.0,2031.0,1629822202864
128.0,2029.0,1629822202921
128.0,2027.0,1629822202925
128.0,2025.0,1629822202946
128.0,2023.0,1629822202958
128.0,2020.0,1629822202962
128.0,2018.0,1629822203055
128.0,2016.0,1629822203123
128.0,2014.0,1629822203127
128.0,2012.0,1629822203131
128.0,2010.0,1629822203235
128.0,2008.0,1629822203289
128.0,2006.0,1629822203294
128.0,2004.0,1629822203412
128.0,2002.0,1629822203445
128.0,1999.0,1629822203451
128.0,1997.0,1629822203456
128.0,1995.0,1629822203466
128.0,1993.0,1629822203544
128.0,1991.0,1629822203590
128.0,1989.0,1629822203597
128.0,1987.0,1629822203603
128.0,1985.0,1629822203609
128.0,1983.0,1629822203615
128.0,1981.0,1629822203622
128.0,1979.0,1629822203627
128.0,1977.0,1629822203632
128.0,1974.0,1629822203639
128.0,1972.0,1629822203644
128.0,1970.0,1629822203650
128.0,1968.0,1629822203675
128.0,1966.0,1629822203679
