free_memory_MB,allocated_memory_MB,max_memory_MB,total_memory_MB,milliseconds
48.0,128.0,2048.0,1968.0,1629409322224
47.0,128.0,2048.0,1967.0,1629409322290
47.0,128.0,2048.0,1967.0,1629409322326
46.0,128.0,2048.0,1966.0,1629409322330
45.0,128.0,2048.0,1965.0,1629409322335
45.0,128.0,2048.0,1965.0,1629409322340
44.0,128.0,2048.0,1964.0,1629409322344
44.0,128.0,2048.0,1964.0,1629409322348
43.0,128.0,2048.0,1963.0,1629409322353
42.0,128.0,2048.0,1962.0,1629409322357
42.0,128.0,2048.0,1962.0,1629409322362
41.0,128.0,2048.0,1961.0,1629409322367
41.0,128.0,2048.0,1961.0,1629409322380
40.0,128.0,2048.0,1960.0,1629409322388
39.0,128.0,2048.0,1959.0,1629409322393
109.0,128.0,2048.0,2029.0,1629409322411
109.0,128.0,2048.0,2029.0,1629409322417
108.0,128.0,2048.0,2028.0,1629409322420
108.0,128.0,2048.0,2028.0,1629409322428
107.0,128.0,2048.0,2027.0,1629409322431
106.0,128.0,2048.0,2026.0,1629409322442
106.0,128.0,2048.0,2026.0,1629409322456
105.0,128.0,2048.0,2025.0,1629409322460
105.0,128.0,2048.0,2025.0,1629409322540
104.0,128.0,2048.0,2024.0,1629409322583
103.0,128.0,2048.0,2023.0,1629409322587
103.0,128.0,2048.0,2023.0,1629409322593
102.0,128.0,2048.0,2022.0,1629409322597
102.0,128.0,2048.0,2022.0,1629409322603
101.0,128.0,2048.0,2021.0,1629409322607
101.0,128.0,2048.0,2021.0,1629409322610
100.0,128.0,2048.0,2020.0,1629409322613
99.0,128.0,2048.0,2019.0,1629409322617
99.0,128.0,2048.0,2019.0,1629409322620
98.0,128.0,2048.0,2018.0,1629409322719
97.0,128.0,2048.0,2017.0,1629409322765
97.0,128.0,2048.0,2017.0,1629409322778
96.0,128.0,2048.0,2016.0,1629409322781
96.0,128.0,2048.0,2016.0,1629409322785
95.0,128.0,2048.0,2015.0,1629409322789
95.0,128.0,2048.0,2015.0,1629409322793
94.0,128.0,2048.0,2014.0,1629409322797
93.0,128.0,2048.0,2013.0,1629409322800
93.0,128.0,2048.0,2013.0,1629409322803
92.0,128.0,2048.0,2012.0,1629409322805
92.0,128.0,2048.0,2012.0,1629409322807
91.0,128.0,2048.0,2011.0,1629409322809
91.0,128.0,2048.0,2011.0,1629409322811
90.0,128.0,2048.0,2010.0,1629409322813
89.0,128.0,2048.0,2009.0,1629409322815
89.0,128.0,2048.0,2009.0,1629409322817
88.0,128.0,2048.0,2008.0,1629409322820
88.0,128.0,2048.0,2008.0,1629409322822
87.0,128.0,2048.0,2007.0,1629409322824
86.0,128.0,2048.0,2006.0,1629409322827
86.0,128.0,2048.0,2006.0,1629409322830
85.0,128.0,2048.0,2005.0,1629409322832
