free_memory_MB,allocated_memory_MB,max_memory_MB,total_memory_MB,milliseconds
68.0,128.0,2048.0,1988.0,1629409310202
68.0,128.0,2048.0,1988.0,1629409310258
68.0,128.0,2048.0,1988.0,1629409310334
68.0,128.0,2048.0,1988.0,1629409310338
68.0,128.0,2048.0,1988.0,1629409310358
68.0,128.0,2048.0,1988.0,1629409310364
68.0,128.0,2048.0,1988.0,1629409310414
68.0,128.0,2048.0,1988.0,1629409310418
68.0,128.0,2048.0,1988.0,1629409310498
68.0,128.0,2048.0,1988.0,1629409310574
68.0,128.0,2048.0,1988.0,1629409310594
68.0,128.0,2048.0,1988.0,1629409310631
68.0,128.0,2048.0,1988.0,1629409310636
68.0,128.0,2048.0,1988.0,1629409310638
68.0,128.0,2048.0,1988.0,1629409310657
68.0,128.0,2048.0,1988.0,1629409310661
68.0,128.0,2048.0,1988.0,1629409310682
68.0,128.0,2048.0,1988.0,1629409310691
68.0,128.0,2048.0,1988.0,1629409310701
68.0,128.0,2048.0,1988.0,1629409310707
68.0,128.0,2048.0,1988.0,1629409310708
68.0,128.0,2048.0,1988.0,1629409310710
68.0,128.0,2048.0,1988.0,1629409310711
68.0,128.0,2048.0,1988.0,1629409310713
68.0,128.0,2048.0,1988.0,1629409310714
68.0,128.0,2048.0,1988.0,1629409310716
68.0,128.0,2048.0,1988.0,1629409310717
67.0,128.0,2048.0,1987.0,1629409310720
67.0,128.0,2048.0,1987.0,1629409310722
67.0,128.0,2048.0,1987.0,1629409310725
67.0,128.0,2048.0,1987.0,1629409310735
67.0,128.0,2048.0,1987.0,1629409310737
67.0,128.0,2048.0,1987.0,1629409310739
67.0,128.0,2048.0,1987.0,1629409310741
67.0,128.0,2048.0,1987.0,1629409310742
67.0,128.0,2048.0,1987.0,1629409310744
67.0,128.0,2048.0,1987.0,1629409310746
67.0,128.0,2048.0,1987.0,1629409310753
67.0,128.0,2048.0,1987.0,1629409310754
67.0,128.0,2048.0,1987.0,1629409310756
67.0,128.0,2048.0,1987.0,1629409310758
67.0,128.0,2048.0,1987.0,1629409310760
67.0,128.0,2048.0,1987.0,1629409310762
67.0,128.0,2048.0,1987.0,1629409310763
67.0,128.0,2048.0,1987.0,1629409310765
67.0,128.0,2048.0,1987.0,1629409310766
67.0,128.0,2048.0,1987.0,1629409310769
67.0,128.0,2048.0,1987.0,1629409310771
67.0,128.0,2048.0,1987.0,1629409310774
67.0,128.0,2048.0,1987.0,1629409310775
67.0,128.0,2048.0,1987.0,1629409310777
67.0,128.0,2048.0,1987.0,1629409310778
67.0,128.0,2048.0,1987.0,1629409310780
67.0,128.0,2048.0,1987.0,1629409310781
