city,city_ibge_code,date,epidemiological_week,estimated_population,estimated_population_2019,is_last,is_repeated,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,order_for_place,place_type,state,new_confirmed,new_deaths
Paraibano,2107704.0,2021-08-08,202132,21479.0,21386.0,True,False,999,4651.054520000001,2021-08-08,0.037,37,456,city,MA,0,1
Canápolis,3111804.0,2021-06-18,202124,12201.0,12150.0,True,False,999,8187.85345,2021-06-18,0.02,20,389,city,MG,13,0
Nova Floresta,2510105.0,2021-08-08,202132,10626.0,10638.0,True,False,999,9401.4681,2021-08-08,0.016,16,462,city,PB,1,0
Heliópolis,2911857.0,2021-07-29,202130,12987.0,13031.0,True,False,998,7684.60768,2021-07-29,0.011,11,417,city,BA,-1,0
Ariranha,3503703.0,2021-08-11,202132,9761.0,9668.0,True,False,998,10224.36226,2021-08-11,0.024,24,449,city,SP,2,0
Tavares,2516607.0,2021-08-08,202132,14759.0,14726.0,True,False,997,6755.200220000001,2021-08-08,0.0191,19,445,city,PB,1,0
Belém do São Francisco,2601607.0,2021-08-11,202132,20730.0,20729.0,True,False,997,4809.4549,2021-08-11,0.011,11,454,city,PE,0,0
Itaíba,2607505.0,2021-08-11,202132,26308.0,26349.0,True,False,997,3789.7217600000004,2021-08-11,0.013,13,460,city,PE,0,0
Xanxerê,4219507.0,2021-08-10,202132,51642.0,50982.0,True,False,9960,19286.62716,2021-08-10,0.017,169,462,city,SC,31,0
Jaú,3525300.0,2021-08-11,202132,151881.0,150252.0,True,False,9960,6557.76562,2021-08-11,0.0539,537,497,city,SP,41,0
Guarabira,2506301.0,2021-08-08,202132,59115.0,58833.0,True,False,9952,16834.982659999998,2021-08-08,0.0147,146,473,city,PB,17,0
Lençóis,2919306.0,2021-07-29,202130,11499.0,11409.0,True,False,995,8652.92634,2021-07-29,0.0181,18,417,city,BA,2,0
Morro do Chapéu do Piauí,2206670.0,2021-08-11,202132,6811.0,6796.0,True,False,995,14608.72119,2021-08-11,0.006,6,460,city,PI,2,0
Jesuítas,4112751.0,2021-08-12,202132,8330.0,8412.0,True,False,995,11944.777909999999,2021-08-12,0.0201,20,447,city,PR,2,0
Olímpia,3533908.0,2021-08-11,202132,55130.0,54772.0,True,False,9940,18030.11065,2021-08-11,0.0254,252,491,city,SP,12,0
Abaré,2900207.0,2021-07-29,202130,20347.0,20086.0,True,False,994,4885.24107,2021-07-29,0.0111,11,441,city,BA,1,0
